Exam board,Date,Morning/Afternoon,Code,Course,Qualification,Paper,Notes,Time,Duration,POS,Exam spec
EDEXCEL,14/05/2018,Morning,1CP1 01,Computer Science,GCSE,Computer Science Paper 1: Principles of Computer Science,,,1h 40m,,
EDEXCEL,14/05/2018,Morning,5IT01 01,ICT,GCSE,ICT Unit 1: Living In A Digital World,,,1h 30m,,
EDEXCEL,14/05/2018,Afternoon,3RA0 01,Religious Studies,GCSE,Religious Studies (Short Course) A Paper 1: Area of Study 1 – Study of Catholic Christianity,,,0h 50m,,
EDEXCEL,14/05/2018,Afternoon,3RB0 1A-1G,Religious Studies,GCSE,Religious Studies (Short Course) B Paper 1: Area of Study 1 — Religion and Ethics,,,0h 50m,,
EDEXCEL,14/05/2018,Afternoon,1RA0 1A-1C,Religious Studies,GCSE,Religious Studies A Paper 1: Area of Study 1 – Study of Religion,,,1h 45m,,
EDEXCEL,14/05/2018,Afternoon,1RB0 1A-1G,Religious Studies,GCSE,Religious Studies B Paper 1: Area of Study 1 - Religion and Ethics,,,1h 45m,,
EDEXCEL,14/05/2018,Afternoon,3RA0 02,Religious Studies,GCSE,Religious Studies (Short Course) A Paper 2: Area of Study 2 – Study of Christianity,,,0h 50m,,
EDEXCEL,15/05/2018,Morning,1FR0 1F,French,GCSE,French Paper 1: Listening and understanding in French,,,0h 35m,,
EDEXCEL,15/05/2018,Morning,1FR0 1H ,French,GCSE,French Paper 1: Listening and understanding in French,,,0h 45m,,
EDEXCEL,15/05/2018,Morning,1FR0 3F ,French,GCSE,French Paper 3: Reading and understanding in French,,,0h 45m,,
EDEXCEL,15/05/2018,Morning,1FR0 3H,French,GCSE,French Paper 3: Reading and understanding in French,,,1h 00m,,
EDEXCEL,15/05/2018,Afternoon,1SC0 1BF,Combined Science,GCSE,Combined Science Biology 1,,,1h 10m,,
EDEXCEL,15/05/2018,Afternoon,1SC0 1BH,Combined Science,GCSE,Combined Science Biology 1,,,1h 10m,,
EDEXCEL,15/05/2018,Afternoon,1BI0 1F,Biology,GCSE,Science (Biology) Biology 1,,,1h 45m,,
EDEXCEL,15/05/2018,Afternoon,1BI0 1H,Biology,GCSE,Science (Biology) Biology 1,,,1h 45m,,
EDEXCEL,16/05/2018,Morning,1PE0 01,Physical Education,GCSE,Physical Education Paper 1: Fitness and Body Systems,,,1h 45m ,,
EDEXCEL,16/05/2018,Morning,3PE0 01,Physical Education,GCSE,Physical Education (short course) Paper 1: Theory,,,1h 30m,,
EDEXCEL,16/05/2018,Morning,5UR01 1F,Urdu,GCSE,Urdu Unit 1: Listening and Understanding in Urdu Foundation Tier,,, 0h 25m,,
EDEXCEL,16/05/2018,Morning,5UR01 1H,Urdu,GCSE,Urdu Unit 1: Listening and Understanding in Urdu Higher Tier,,, 0h 35m,,
