Exam board,Date,Morning/Afternoon,J260/1,Course,Qualification,Paper,Notes,Time,Duration,POS,Exam spec
OCR,06/06/2018,Morning,A031,Ancient History,GCSE,The Greeks at War,,,1 h 15 min,,
OCR,13/06/2018,Afternoon,A032,Ancient History,GCSE,The Rise of Rome,,,1 h 15 min,,
OCR,18/06/2018,Afternoon,A033,Ancient History,GCSE,Women in Ancient Politics,,,1 h 15 min,,
OCR,14/06/2018,Afternoon,A201,Biblical Hebrew,GCSE,Language,,,2 h,,
OCR,18/06/2018,Morning,A202,Biblical Hebrew,GCSE,Literature,,,2 h,,
OCR,15/05/2018,Afternoon,J247/1,Biology A,GCSE,B1-B3 and B7 Foundation,,,1h 45m,,
OCR,11/06/2018,Morning,J247/2,Biology A,GCSE,B4-B6 and B7 Foundation,,,1h 45m,,
OCR,15/06/2018,Afternoon,J247/3,Biology A,GCSE,B3 B1-B3 and B7 Higher,,,1h 45m,,
OCR,11/06/2018,Morning,J247/4,Biology A,GCSE,B4-B6 and B7 Higher,,,1h 45m,,
OCR,15/05/2018,Afternoon,J257/1,Biology B,GCSE,Breadth in biology (Foundation),,,1h 45m,,
OCR,11/06/2018,Morning,J257/2,Biology B,GCSE,Depth in biology (Foundation),,,1h 45m,,
OCR,15/05/2018,Afternoon,J257/3,Biology B,GCSE,Breadth in biology (Higher),,,1h 45m,,
OCR,11/06/2018,Morning,J257/4,Biology B,GCSE,Depth in biology (Higher),,,1h 45m,,
OCR,23/05/2018,Morning,A241,Applied Business,GCSE,Business in Action,,,1h 30m,,
OCR,07/06/2018,Afternoon,A243,Applied Business,GCSE,Working in Business,,,1h 30m,,
OCR,20/06/2018,Afternoon,A265,Business and Communication Systems,GCSE,Businesses and their Communication Systems,,,1h 30m,,
OCR,18/06/2018,Morning,A267,Business and Communication Systems,GCSE,ICT Skills for Business Communication Systems 1,,,1h,,
OCR,23/05/2018,Morning,A292,Business Studies,GCSE,Business and People,,,1h,,
OCR,06/06/2018,Afternoon,A293,Business Studies,GCSE,"Production, Finance and the External Business Environment",,,1h 30m,,
OCR,17/05/2018,Morning,J248/1,Chemistry A,GCSE,C1-C3 and C7 Foundation,,,1h 45m,,
OCR,13/06/2018,Morning,J248/2,Chemistry A,GCSE,C4-C6 and C7 Foundation,,,1h 45m,,
OCR,17/05/2018,Morning,J248/3,Chemistry A,GCSE,C1-C3 and C7 Higher,,,1h 45m,,
OCR,13/06/2018,Morning,J248/4,Chemistry A,GCSE,C4-C6 and C7 Higher,,,1h 45m,,
OCR,17/05/2018,Morning,J258/1,Chemistry B,GCSE,Breadth in chemistry (Foundation),,,1h 45m,,
OCR,13/06/2018,Morning,J258/2,Chemistry B,GCSE,Depth in chemistry (Foundation),,,1h 45m,,
OCR,17/05/2018,Morning,J258/3,Chemistry B,GCSE,Breadth in chemistry (Higher),,,1h 45m,,
OCR,13/06/2018,Morning,J258/4,Chemistry B,GCSE,Depth in chemistry (Higher),,,1h 45m,,
OCR,15/06/2018,Afternoon,J270/1,Citizenship Studies,GCSE,Citizenship in perspective,,,50m,,
OCR,18/06/2018,Morning,J270/2,Citizenship Studies,GCSE,Citizenship in action,,,1h 45m,,
OCR,22/06/2018,Afternoon,J270/3,Citizenship Studies,GCSE,"Our rights, our society, our world",,,1h,,
OCR,04/06/2018,Afternoon,"A351/1, 2",Classical Civilisation,GCSE,City Life in the Classical World,1h each,,1h,,
OCR,07/06/2018,Afternoon,"A352/1, 2",Classical Civilisation,GCSE,Epic and Myth,1h each,,1h,,
OCR,14/06/2018,Afternoon,"A353/1, 2",Classical Civilisation,GCSE,Community Life in the Classical World,1h each,,1h,,
OCR,18/05/2018,Afternoon,J292/1,Classical Greek,GCSE,Language,,,1h 30m,,
OCR,23/05/2018,Morning,J292/2,Classical Greek,GCSE,Prose Literature A,,,1h,,
OCR,23/05/2018,Morning,J292/3,Classical Greek,GCSE,Prose Literature B,,,1h,,
OCR,06/06/2018,Afternoon,J292/4,Classical Greek,GCSE,Verse Literature A,,,1h,,
OCR,06/06/2018,Afternoon,J292/5,Classical Greek,GCSE,Verse Literature B,,,1h,,
OCR,14/06/2018,Morning,J292/6,Classical Greek,GCSE,Literature and Culture,,,1h,,
OCR,14/05/2018,Morning,J276/1,Computer Science,GCSE,Computer systems,,,1h 30m,,
OCR,17/05/2018,Afternoon,J276/2,Computer Science,GCSE,"Computational thinking, algorithms and programming",,,1h 30m,,
OCR,22/06/2018,Morning,A554,Design and Technology (Product Design),GCSE,Designing Influences,,,1h 30m,,
OCR,25/05/2018,Afternoon,A515/1-3,D & T: Electronics and Control Systems,GCSE,Sustainability and Technical Aspects of Designing and Making,1h 30m each,,1h 30m,,
OCR,19/06/2018,Morning,A535,D & T: Graphics,GCSE,Sustainability and Technical Aspects of Designing and Making,,,1h 30m,,
OCR,07/06/2018,Afternoon,A545,D & T: Industrial Technology ,GCSE,Sustainability and Technical Aspects of Designing and Making,,,1h 30m,,
OCR,14/06/2018,Afternoon,A565,D & T: Resistant Materials ,GCSE,Sustainability and Technical Aspects of Designing and Making,,,1h 30m,,
OCR,25/06/2018,Afternoon,A575,D & T: Textiles Technology ,GCSE,Sustainability and Technical Aspects of Designing and Making,,,1h 30m,,
OCR,18/05/2018,Afternoon,J316/4,Drama,GCSE,Performance and response,,,1h 30m,,
OCR,21/05/2018,Afternoon,A801,Dutch,GCSE,Listening,,,50m,,
OCR,06/06/2018,Afternoon,A803,Dutch,GCSE,Reading,,,1h,,
OCR,16/05/2018,Morning,A804,Dutch,GCSE,Writing,,,1h,,
OCR,21/05/2018,Afternoon,A801,Dutch,GCSE,Listening,Spoken Language (Short Course),,50m,,
OCR,06/06/2018,Afternoon,A803,Dutch,GCSE,Reading,Written Language (Short Course),,1h,,
OCR,16/05/2018,Morning,A804,Dutch,GCSE,Writing,Written Language (Short Course),,1h,,
OCR,04/06/2018,Afternoon,A591/2,Economics,GCSE,How the Market Works,,,1h,,
OCR,04/06/2018,Afternoon,A592,Economics,GCSE,How the Economy Works,,,1h,,
OCR,06/06/2018,Afternoon,A593,Economics,GCSE,The UK Economy and Globalisation,,,1h 30m,,
OCR,21/05/2018,Afternoon,A622,Engineering,GCSE,Engineering Processes,"Single Award, Double Award",,1h,,
OCR,04/06/2018,Afternoon,A624,Engineering,GCSE,Impact of Modern Technologies on Engineering,Double Award,,1h,,
OCR,05/06/2018,Morning,J351/1,English Language,GCSE,Communicating information and ideas,,,2h,,
OCR,08/06/2018,Morning,J351/2,English Language,GCSE,Exploring effects and impact,,,2h,,
OCR,22/05/2018,Morning,J352/1,English Literature,GCSE,Exploring modern and literary heritage texts,,,2h,,
OCR,25/05/2018,Morning,J352/2,English Literature,GCSE,Exploring poetry and Shakespeare,,,2h,,
OCR,11/06/2018,Morning,"B681/1, 2",Environmental and Land-based Science,GCSE,Management of the Natural Environment,1h each,,1h,,
OCR,13/06/2018,Morning,"B682/1, 2",Environmental and Land-based Science,GCSE,Plant Cultivation and Small Animal Care,1h each,,1h,,
OCR,15/06/2018,Morning,"B683/1, 2",Environmental and Land-based Science,GCSE,"Commercial Horticulture, Agriculture and Livestock Husbandry",1h each,,1h,,
OCR,14/06/2018,Afternoon,J309/1,Food Preparation and Nutrition,GCSE,Food preparation and nutrition,,,1h 30m,,
OCR,22/05/2018,Afternoon,J383/1,Geography A (Geographical Themes),GCSE,Living in the UK today,,,1h,,
OCR,05/06/2018,Afternoon,J383/2,Geography A (Geographical Themes),GCSE,The world around us,,,1h,,
OCR,11/06/2018,Afternoon,J383/3,Geography A (Geographical Themes),GCSE,Geographical skills,,,1h 30m,,
OCR,22/05/2018,Afternoon,J384/1,Geography B (Geography for Enquiring Minds),GCSE,Our natural world,,,1h 15m,,
OCR,05/06/2018,Afternoon,J384/2,Geography B (Geography for Enquiring Minds),GCSE,People and Society,,,1h 15m,,
OCR,11/06/2018,Afternoon,J384/3,Geography B (Geography for Enquiring Minds),GCSE,Geographical exploration,,,1h 30m,,
OCR,21/05/2018,Afternoon,A811,Gujarati,GCSE,Listening,,,50m,,
OCR,06/06/2018,Afternoon,A813,Gujarati,GCSE,Reading,,,1h,,
OCR,16/05/2018,Morning,A814,Gujarati,GCSE,Writing,,,1h,,
OCR,21/05/2018,Afternoon,A811,Gujarati,GCSE,Listening,Spoken Language (Short Course),,50m,,
OCR,06/06/2018,Afternoon,A813,Gujarati,GCSE,Reading,Written Language (Short Course),,1h,,
OCR,16/05/2018,Morning,A813,Gujarati,GCSE,Writing,Written Language (Short Course),,1h,,
OCR,13/06/2018,Afternoon,A912,Health & Social Care,GCSE,Understanding Personal Development & Relationships,,,1h,,
OCR,19/06/2018,Afternoon,A914,Health & Social Care,GCSE,Safeguarding and Protecting Individuals,,,1h,,
