Exam board,Date,Morning/Afternoon,Code,Course,Qualification,Paper,Notes,Time,Duration,POS,Exam spec
WJEC,08/05/2018,Morning,3310U10-1,Mathematics – Numeracy,GCSE,"Mathematics – Numeracy Unit 1 Foundation Tier
(NEW WALES) ",,,1h 30m,,
WJEC,08/05/2018,Morning,3310U30-1,Mathematics – Numeracy,GCSE,"Mathematics – Numeracy Unit 1 Intermediate Tier
(NEW WALES)",,,1h 45m,,
WJEC,08/05/2018,Morning,3310U50-1,Mathematics – Numeracy,GCSE,"Mathematics – Numeracy Unit 1 Higher Tier
(NEW WALES)",,,1h 45m,,
WJEC,09/05/2018,Morning,3000N20-1,Welsh Language,GCSE, Welsh Language Unit 2 (NEW WALES),,,2h,,
WJEC,09/05/2018,Morning,4551/01 ,Welsh 2nd Language,GCSE,Welsh 2nd Language Unit 1 Foundation Tier ,,,1h,,
WJEC,09/05/2018,Morning,4551/02 ,Welsh 2nd Language,GCSE,Welsh 2nd Language Unit 1 Higher Tier,,,1h,,
WJEC,09/05/2018,Morning,4561/01,Welsh 2nd Language,GCSE,Welsh 2nd Language Applied Unit 1 Foundation Tier ,,,1h,,
WJEC,09/05/2018,Morning,4561/02 ,Welsh 2nd Language,GCSE,Welsh 2nd Language Applied Unit 1 Higher Tier,,,1h,,
WJEC,10/05/2018,Morning,3310U20-1,Mathematics – Numeracy,GCSE,"Mathematics – Numeracy Unit 2 Foundation Tier
(NEW WALES)",,,1h 30m,,
WJEC,10/05/2018,Morning,3310U40-1,Mathematics – Numeracy,GCSE,"Mathematics – Numeracy Unit 2 Intermediate Tier
(NEW WALES)",,,1h 45m,,
WJEC,10/05/2018,Morning,3310U60-1,Mathematics – Numeracy,GCSE,"Mathematics – Numeracy Unit 2 Higher Tier
(NEW WALES)",,,1h 45m,,
WJEC,11/05/2018,Morning,3000N30-1 ,Welsh Language,GCSE,Welsh Language Unit 3 (NEW WALES),,,2h,,
