Exam board,Date,Morning/Afternoon,Code,Course,Qualification,Paper,Notes,Duration,POS,Exam spec
AQA,31/05/2019,,8201/C,"Art and Design (Art, craft and design)",GCSE,Non-exam assessment – portfolio,10 (Submit by),,,
AQA,31/05/2019,,8201/X,"Art and Design (Art, craft and design)",GCSE,Non-exam assessment – externally set assignment,10 & 13 (10h to submit by),,,
AQA,31/05/2019,,8202/C,Art and Design (Fine art),GCSE,Non-exam assessment – portfolio,10 (Submit by),,,
AQA,31/05/2019,,8202/X,Art and Design (Fine art),GCSE,Non-exam assessment – externally set assignment,10 & 13 (10h to submit by),,,
AQA,31/05/2019,,8203/C,Art and Design (Graphic communication),GCSE,Non-exam assessment – portfolio,10 (Submit by),,,
AQA,31/05/2019,,8203/X,Art and Design (Graphic communication),GCSE,Non-exam assessment – externally set assignment,10 & 13 (10h to submit by),,,
AQA,31/05/2019,,8204/C,Art and Design (Textile design),GCSE,Non-exam assessment – portfolio,10 (Submit by),,,
AQA,31/05/2019,,8204/X,Art and Design (Textile design),GCSE,Non-exam assessment – externally set assignment,10 & 13 (10h to submit by),,,
AQA,31/05/2019,,8205/C,Art and Design (Three-dimensional design),GCSE,Non-exam assessment – portfolio,10 (Submit by),,,
AQA,31/05/2019,,8205/X,Art and Design (Three-dimensional design),GCSE,Non-exam assessment – externally set assignment,10 & 13 (10h to submit by),,,
AQA,31/05/2019,,8206/C,Art and Design (Photography),GCSE,Non-exam assessment – portfolio,10 (Submit by),,,
AQA,31/05/2019,,8206/X,Art and Design (Photography),GCSE,Non-exam assessment – externally set assignment,10 & 13 (10h to submit by),,,
AQA,20/05/2019,PM,8638/LF,Bengali,GCSE,Listening,new,35m,,
AQA,20/05/2019,PM,8638/LH,Bengali,GCSE,Listening,new,45m,,
AQA,20/05/2019,PM,8638/RF,Bengali,GCSE,Reading,new,45m,,
AQA,20/05/2019,PM,8638/RH,Bengali,GCSE,Reading,new,1h,,
AQA,20/05/2019,,8638/SF,Bengali,GCSE,Speaking test,"new, 9 & 17 (Submit by)",,,
AQA,20/05/2019,,8638/SH,Bengali,GCSE,Speaking test,"new, 9 & 17 (Submit by)",,,
AQA,03/06/2019,PM,8638/WF,Bengali,GCSE,Writing,new,1h,,
AQA,03/06/2019,PM,8638/WH,Bengali,GCSE,Writing,new,1h 15m,,
AQA,14/05/2019,PM,8461/1F,Biology,GCSE,Paper 1,,1h 45m,,
AQA,14/05/2019,PM,8461/1H,Biology,GCSE,Paper 1,,1h 45m,,
