Exam board,Date,Morning/Afternoon,Code,Course,Qualification,Paper,Notes,Duration,POS,Exam spec
CEA,08/01/2019,AM,GMC11,Mathematics,GCSE,Mathematics Unit 1 (F) (New),,1hr 45m,,
CEA,08/01/2019,AM,GMC21,Mathematics,GCSE,Mathematics Unit 2 (F) (New),,1hr 45m,,
CEA,08/01/2019,AM,GMC31,Mathematics,GCSE,Mathematics Unit 3 (H) (New),,2hrs,,
CEA,08/01/2019,AM,GMC41,Mathematics,GCSE,Mathematics Unit 4 (H) (New),,2hrs,,
CEA,08/01/2019,AM,GMT11,Mathematics,GCSE,Mathematics Unit 1 (F),,1hr 30m,,
CEA,08/01/2019,AM,GMT21,Mathematics,GCSE,Mathematics Unit 2 (F),,1hr 30m,,
CEA,08/01/2019,AM,GMT31,Mathematics,GCSE,Mathematics Unit 3 (H),,2hrs,,
CEA,08/01/2019,AM,GMT41,Mathematics,GCSE,Mathematics Unit 4 (H),,2hrs,,
CEA,08/01/2019,PM,GIR31,Irish,GCSE,Irish Unit 3 Listening (F),,35m,,
CEA,08/01/2019,PM,GIR32,Irish,GCSE,Irish Unit 3 Listening (H),,45m,,
CEA,09/01/2019,AM,GEG11,English Lang/English,GCSE,English Lang/English Unit 1 (F),,1hr 30m,,
CEA,09/01/2019,AM,GEG12,English Lang/English,GCSE,English Lang/English Unit 1 (H),,1hr 30m,,
CEA,09/01/2019,AM,GEN11,English Language,GCSE,English Language Unit 1 (New),,1hr 45m,,
CEA,09/01/2019,PM,GTD11,Technology and Design,GCSE,Technology & Design Unit 1,,1hr,,
CEA,10/01/2019,AM,GMT51,Mathematics,GCSE,Mathematics Unit 5 Non-Calc (F),,1hr,,
CEA,10/01/2019,AM,GMT52,Mathematics,GCSE,Mathematics Unit 5 Calc (F),,1hr,,
CEA,10/01/2019,AM,GMT61,Mathematics,GCSE,Mathematics Unit 6 Non-Calc (H),,1hr 15m,,
CEA,10/01/2019,AM,GMT62,Mathematics,GCSE,Mathematics Unit 6 Calc (H),,1hr 15m,,
CEA,10/01/2019,PM,GFR31,French,GCSE,French Unit 3 Listening (F),,35m,,
CEA,10/01/2019,PM,GFR32,French,GCSE,French Unit 3 Listening (H),,45m,,
CEA,11/01/2019,AM,GEG21,English Lang/English,GCSE,English Lang/English Unit 2 (F),,1hr 30m,,
CEA,11/01/2019,AM,GEG22,English Lang/English,GCSE,English Lang/English Unit 2 (H),,1hr 30m,,
CEA,11/01/2019,PM,GTD22,Technology and Design,GCSE,Technology & Design Unit 2 (Option B),,1hr,,
CEA,11/01/2019,PM,GTD31,Technology and Design,GCSE,Technology & Design Unit 3,,1hr,,
CEA,14/01/2019,AM,GBY11,Biology,GCSE,Biology Unit 1 (F),,1hr 15m,,
CEA,14/01/2019,AM,GBY12,Biology,GCSE,Biology Unit 1 (H),,1hr 30m,,
CEA,14/01/2019,AM,GHT11,History,GCSE,History Unit 1 (F),,2hrs,,
CEA,14/01/2019,AM,GHT12,History,GCSE,History Unit 1 (H),,2hrs,,
CEA,14/01/2019,PM,GGG11,Geography,GCSE,Geography Unit 1 (F),,1hr 30m,,
CEA,14/01/2019,PM,GGG12,Geography,GCSE,Geography Unit 1 (H),,1hr 30m,,
CEA,15/01/2019,AM,GET11,English Literature,GCSE,English Literature Unit 1 (F),,1hr,,
CEA,15/01/2019,AM,GET12,English Literature,GCSE,English Literature Unit 1 (H),,1hr,,
CEA,15/01/2019,AM,GIT31,ICT,GCSE,ICT Unit 3,,2hrs,,
CEA,15/01/2019,AM,GIT41,ICT,GCSE,ICT Unit 2 (Short Course),,1hr,,
CEA,15/01/2019,PM,GGE31,German,GCSE,German Unit 3 Listening (F),,35m,,
CEA,15/01/2019,PM,GGE32,German,GCSE,German Unit 3 Listening (H),,45m,,
