Exam board,Date,Morning/Afternoon,Code,Course,Qualification,Paper,Notes,Duration,POS,Exam spec
CEA,27/02/2019,AM,GDW11,Double Award Science,GCSE,DAS: Biology Unit 1 (F),,1hr,,
CEA,27/02/2019,AM,GDW12,Double Award Science,GCSE,DAS: Biology Unit 1 (H),,1hr,,
CEA,27/02/2019,AM,GSA11,Single Award Science,GCSE,SAS: Biology Unit 1 (F),,1hr,,
CEA,27/02/2019,AM,GSA12,Single Award Science,GCSE,SAS: Biology Unit 1 (H),,1hr,,
CEA,28/02/2019,AM,GDW21,Double Award Science,GCSE,DAS: Chemistry Unit 1 (F),,1hr,,
CEA,28/02/2019,AM,GDW22,Double Award Science,GCSE,DAS: Chemistry Unit 1 (H),,1hr,,
CEA,28/02/2019,AM,GSA21,Single Award Science,GCSE,SAS: Chemistry Unit 2 (F),,1hr,,
CEA,28/02/2019,AM,GSA22,Single Award Science,GCSE,SAS: Chemistry Unit 2 (H),,1hr,,
CEA,01/03/2019,AM,GDW31,Double Award Science,GCSE,DAS: Physics Unit 1 (F),,1hr,,
CEA,01/03/2019,AM,GDW32,Double Award Science,GCSE,DAS: Physics Unit 1 (H),,1hr,,
CEA,01/03/2019,AM,GSA31,Single Award Science,GCSE,SAS: Physics Unit 3 (F),,1hr,,
CEA,01/03/2019,AM,GSA32,Single Award Science,GCSE,SAS: Physics Unit 3 (H),,1hr,,
