Exam board,Date,Morning/Afternoon,Code,Course,Qualification,Paper,Notes,Duration,POS,Exam spec
CEA,08/05/2019,AM,GEM21,Engineering and Manufacturing,GCSE,Engineering and Manufacturing Unit 2,,3hrs,,
CEA,08/05/2019,PM,GMR11,Motor Vehicle and Road User Studies,GCSE,MV & RUS Unit 1,,1hr 45m,,
CEA,09/05/2019,AM,GIH11,Irish,GCSE,Irish Unit 1 Listening (F),,35m,,
CEA,09/05/2019,AM,GIH12,Irish,GCSE,Irish Unit 1 Listening (H),,45m,,
CEA,09/05/2019,PM,GLF11,LLW Local & Global Citizenship,GCSE,LLW Local & Global Citizenship Unit 1,,1hr,,
CEA,10/05/2019,AM,GLF31,LLW Employability,GCSE,LLW Employability Unit 3,,1hr,,
CEA,10/05/2019,PM,GLF21,LLW Personal Development,GCSE,LLW Personal Development Unit 2,,1hr,,
CEA,13/05/2019,AM,GDG11,Digital Technology,GCSE,Digital Technology Unit 1,,1hr,,
CEA,13/05/2019,AM,GIH41,Irish,GCSE,Irish Writing Unit 4 (F),,1hr,,
CEA,13/05/2019,AM,GIH42,Irish,GCSE,Irish Writing Unit 4 (H),,1hr 15m,,
CEA,13/05/2019,PM,GRE11,Religious Studies,GCSE,Religious Studies Unit 1,,1hr 30m,,
CEA,13/05/2019,PM,GRE21,Religious Studies,GCSE,Religious Studies Unit 2 (Opt A),,1hr 30m,,
CEA,13/05/2019,PM,GRE22,Religious Studies,GCSE,Religious Studies Unit 2 (Opt B),,1hr 30m,,
CEA,14/05/2019,AM,GFC11,French,GCSE,French Listening Unit 1 (F),,35m,,
CEA,14/05/2019,AM,GFC12,French,GCSE,French Listening Unit 1 (H),,45m,,
CEA,14/05/2019,PM,GDW11,Double Award Science,GCSE,DAS: Biology Unit 1 (F),,1hr,,
CEA,14/05/2019,PM,GDW12,Double Award Science,GCSE,DAS: Biology Unit 1 (H),,1hr,,
CEA,14/05/2019,PM,GSA11,Single Award Science,GCSE,SAS: Biology Unit 1 (F),,1hr,,
CEA,14/05/2019,PM,GSA12,Single Award Science,GCSE,SAS: Biology Unit 1 (H),,1hr,,
CEA,15/05/2019,AM,G9771,Physical Education,GCSE,P.E. Paper 1 (Health & Performance),,1hr 15m,,
CEA,15/05/2019,AM,GJN31,Journalism ,GCSE,Journalism Unit 3,,2hr 15m,,
CEA,15/05/2019,PM,GRE31,Religious Studies,GCSE,Religious Studies Unit 3,,1hr 30m,,
CEA,15/05/2019,PM,GRE41,Religious Studies,GCSE,Religious Studies Unit 4,,1hr 30m,,
