Exam board,Date,Morning/Afternoon,Code,Course,Qualification,Paper,Notes,Duration,POS,Exam spec
OCR,12/06/2019,PM,A201/01,Biblical Hebrew,GCSE,Language:Written Paper,,2h 00m,,
OCR,17/06/2019,AM,A202/01,Biblical Hebrew,GCSE,Literature:Written Paper,,2h 00m,,
OCR,22/05/2019,AM,A811/01,Gujarati,GCSE,Gujarati: Listening:Written Paper,,0h 50m,,
OCR,04/06/2019,PM,A813/01,Gujarati,GCSE,Gujarati: Reading:Written Paper,,1h 00m,,
OCR,15/05/2019,AM,A814/01,Gujarati,GCSE,Gujarati: Writing:Written Paper,,1h 00m,,
OCR,22/05/2019,AM,A821/01,Persian,GCSE,Persian: Listening:Written Paper,,0h 50m,,
OCR,04/06/2019,PM,A823/01,Persian,GCSE,Persian: Reading:Written Paper,,1h 00m,,
OCR,15/05/2019,AM,A824/01,Persian,GCSE,Persian: Writing:Written Paper,,1h 00m,,
OCR,20/05/2019,PM,A831/01,Portuguese,GCSE,Portuguese: Listening:Written Paper,,0h 50m,,
OCR,04/06/2019,PM,A833/01,Portuguese,GCSE,Portuguese: Reading:Written Paper,,1h 00m,,
OCR,15/05/2019,AM,A834/01,Portuguese,GCSE,Portuguese: Writing:Written Paper,,1h 00m,,
OCR,22/05/2019,AM,A841/01,Turkish,GCSE,Turkish: Listening:Written Paper,,0h 50m,,
OCR,04/06/2019,PM,A843/01,Turkish,GCSE,Turkish: Reading:Written Paper,,1h 00m,,
OCR,15/05/2019,AM,A844/01,Turkish,GCSE,Turkish: Writing:Written Paper,,1h 00m,,
OCR,13/05/2019,PM,J125/01,Religious Studies,GCSE,"Religion, philosophy and ethics in the modern world",,2h 00m,,
OCR,03/06/2019,PM,J198/01,Ancient History,GCSE,Greece and Persia,,1h 45m,,
OCR,10/06/2019,AM,J198/02,Ancient History,GCSE,Rome and its neighbours,,1h 45m,,
OCR,24/05/2019,PM,J199/11,Classical Civilisation,GCSE,Thematic study: Myth and religion,,1h 30m,,
OCR,24/05/2019,PM,J199/12,Classical Civilisation,GCSE,Thematic study: Women in the ancient world,,1h 30m,,
OCR,05/06/2019,AM,J199/21,Classical Civilisation,GCSE,Literature and culture: The Homeric world,,1h 30m,,
OCR,05/06/2019,AM,J199/22,Classical Civilisation,GCSE,Literature and culture: Roman city life,,1h 30m,,
OCR,05/06/2019,AM,J199/23,Classical Civilisation,GCSE,Literature and culture: War and warfare,,1h 30m,,
OCR,03/06/2019,PM,J200/01,Media Studies,GCSE,Television and promoting media,,1h 45m,,
OCR,10/06/2019,PM,J200/02,Media Studies,GCSE,Music and news,,1h 15m,,
OCR,24/05/2019,AM,J203/01,Psychology,GCSE,Studies and applications in Psychology 1,,1h 30m,,
OCR,03/06/2019,PM,J203/02,Psychology,GCSE,Studies and applications in Psychology 2,,1h 30m,,
OCR,24/05/2019,AM,J204/01,Business,GCSE,"Business activity, marketing and people",,1h 30m,,
OCR,04/06/2019,PM,J204/02,Business,GCSE,"Operations, finance and influences on business",,1h 30m,,
OCR,24/05/2019,PM,J205/01,Economics,GCSE,Introduction to economics,,1h 30m,,
OCR,03/06/2019,PM,J205/02,Economics,GCSE,National and international economics,,1h 30m,,
OCR,14/05/2019,PM,J247/01,Biology,GCSE,B1-B3 and B7 Foundation,,1h 45m,,
OCR,07/06/2019,PM,J247/02,Biology,GCSE,B4-B6 and B7 Foundation,,1h 45m,,
OCR,14/05/2019,PM,J247/03,Biology,GCSE,B1-B3 and B7 Higher,,1h 45m,,
OCR,07/06/2019,PM,J247/04,Biology,GCSE,B4-B6 and B7 Higher,,1h 45m,,
OCR,16/05/2019,AM,J248/01,Chemistry,GCSE,C1-C3 and C7 Foundation,,1h 45m,,
OCR,12/06/2019,AM,J248/02,Chemistry,GCSE,C4-C6 and C7 Foundation,,1h 45m,,
OCR,16/05/2019,AM,J248/03,Chemistry,GCSE,C1-C3 and C7 Higher,,1h 45m,,
OCR,12/06/2019,AM,J248/04,Chemistry,GCSE,C4-C6 and C7 Higher,,1h 45m,,
OCR,22/05/2019,PM,J249/01,Physics,GCSE,P1-P4 and P9 Foundation,,1h 45m,,
OCR,14/06/2019,AM,J249/02,Physics,GCSE,P5-P8 and P9 Foundation,,1h 45m,,
OCR,22/05/2019,PM,J249/03,Physics,GCSE,P1-P4 and P9 Higher,,1h 45m,,
OCR,14/06/2019,AM,J249/04,Physics,GCSE,P5-P8 and P9 Higher,,1h 45m,,
OCR,14/05/2019,PM,J250/01,Combined Science,GCSE,Paper 1 (Biology) (Foundation),,1h 10m,,
OCR,07/06/2019,PM,J250/02,Combined Science,GCSE,Paper 2 (Biology) (Foundation),,1h 10m,,
OCR,16/05/2019,AM,J250/03,Combined Science,GCSE,Paper 3 (Chemistry) (Foundation),,1h 10m,,
OCR,12/06/2019,AM,J250/04,Combined Science,GCSE,Paper 4 (Chemistry) (Foundation),,1h 10m,,
OCR,22/05/2019,PM,J250/05,Combined Science,GCSE,Paper 5 (Physics) (Foundation),,1h 10m,,
OCR,14/06/2019,AM,J250/06,Combined Science,GCSE,Paper 6 (Physics) (Foundation),,1h 10m,,
OCR,14/05/2019,PM,J250/07,Combined Science,GCSE,Paper 7 (Biology) (Higher),,1h 10m,,
OCR,07/06/2019,PM,J250/08,Combined Science,GCSE,Paper 8 (Biology) (Higher),,1h 10m,,
OCR,16/05/2019,AM,J250/09,Combined Science,GCSE,Paper 9 (Chemistry) (Higher),,1h 10m,,
OCR,12/06/2019,AM,J250/10,Combined Science,GCSE,Paper 10 (Chemistry) (Higher),,1h 10m,,
OCR,22/05/2019,PM,J250/11,Combined Science,GCSE,Paper 11 (Physics) (Higher),,1h 10m,,
OCR,14/06/2019,AM,J250/12,Combined Science,GCSE,Paper 12 (Physics) (Higher),,1h 10m,,
