Exam board,Date,Morning/Afternoon,Code,Course,Qualification,Paper,Notes,Time,Duration,POS,Exam spec
SQA,25/04/2019,AM,,Physical Education,Higher,,,09:00,2h 30m,,
SQA,25/04/2019,AM,,Latin,Higher,Literary Appreciation,,09:00,2h 40m,,
SQA,25/04/2019,AM,,Latin,National 5,Literary Appreciation,,09:00,2h,,
SQA,25/04/2019,PM,,Latin,National 5,Translating,,13:00,1h,,
SQA,25/04/2019,PM,,Latin,Higher,Translating,,13:00,1h,,
SQA,25/04/2019,PM,,Latin,Advanced Higher,Literary Appreciation,,13:00,1h 30m,,
SQA,25/04/2019,PM,,Latin,Advanced Higher,Translating,,15:00,1h,,
SQA,25/04/2019,PM,,Mathematics of Mechanics,Advanced Higher,,,13:00,3h,,
SQA,25/04/2019,PM,,Administration and IT,National 5,,,13:00,2h,,
SQA,25/04/2019,PM,,Administration and IT,Higher,,,13:00,1h 30m,,
SQA,26/04/2019,AM,,Music,National 5,,,09:00,1h 45m,,
SQA,26/04/2019,AM,,Urdu,Higher,Reading and Directed Writing,,09:00,2h,,
SQA,26/04/2019,AM,,Urdu,Higher,Listening,,11:30,1h 30m,,
SQA,26/04/2019,PM,,Urdu,National 5,Reading and Writing,,13:00,1h 30m,,
SQA,26/04/2019,PM,,Urdu,National 5,Listening,,13:00,30m,,
SQA,26/04/2019,PM,,Music,Higher,,,13:00,1h,,
SQA,26/04/2019,PM,,Music,Advanced Higher,,,14:30,1h 15m,,
SQA,29/04/2019,AM,,Gàidhlig,Àrd Ìre,Leughadh agus Litreachas,,09:00,1h 50m,,
SQA,29/04/2019,AM,,Gàidhlig,Àrd Ìre,Èisteachd,,11:20,1h 30m,,
SQA,29/04/2019,AM,,Gàidhlig,Àrd Ìre Adhartach,Sgrùdadh,,09:00,1h 30m,,
SQA,29/04/2019,AM,,Gàidhlig,Àrd Ìre Adhartach,Litreachas agus Sgrìobhadh,,11:00,1h 40m,,
SQA,29/04/2019,AM,,German,Higher,Reading and Directed Writing,,09:00,2h,,
SQA,29/04/2019,AM,,German,Higher,Listening,,11:30,1h 30m,,
SQA,29/04/2019,AM,,German,Advanced Higher,Reading and Translation,,09:00,1h 30m,,
