Exam board,Date,Morning/Afternoon,Code,Course,Qualification,Paper,Notes,Duration,POS,Exam spec
WJEC,07/05/2019,AM,3310U10-1,Mathematics – Numeracy,GCSE,Mathematics – Numeracy Unit 1 Foundation Tier (WALES),,1h 30m,,
WJEC,07/05/2019,AM,3310U30-1,Mathematics – Numeracy,GCSE,Mathematics – Numeracy Unit 1 Intermediate Tier (WALES),,1h 45m,,
WJEC,07/05/2019,AM,3310U50-1,Mathematics – Numeracy,GCSE,Mathematics – Numeracy Unit 1 Higher Tier (WALES),,1h 45m,,
WJEC,08/05/2019,AM,3000N20-1,Welsh Language,GCSE,Welsh Language Unit 2 (WALES),,2h,,
WJEC,08/05/2019,AM,3020U30-1,Welsh 2nd Language,GCSE,Welsh Second Language Unit 3 (WALES),,1h 30m,,
WJEC,09/05/2019,AM,3310U20-1,Mathematics – Numeracy,GCSE,Mathematics – Numeracy Unit 2 Foundation Tier (WALES),,1h 30m,,
WJEC,09/05/2019,AM,3310U40-1,Mathematics – Numeracy,GCSE,Mathematics – Numeracy Unit 2 Intermediate Tier (WALES),,1h 45m,,
WJEC,09/05/2019,AM,3310U60-1,Mathematics – Numeracy,GCSE,Mathematics – Numeracy Unit 2 Higher Tier (WALES),,1h 45m,,
WJEC,10/05/2019,AM,3000N30-1,Welsh Language,GCSE,Welsh Language Unit 3 (WALES),,2h,,
WJEC,10/05/2019,AM,3020U40-1,Welsh 2nd Language,GCSE,Welsh Second Language Unit 4 (WALES),,1h 30m,,
WJEC,13/05/2019,AM,33500U10-1,Computer Science,GCSE,Computer Science Unit 1 (WALES),,1h 45m,,
WJEC,13/05/2019,PM,333120UA0-1 - 3120UF0-1,Religious Studies,GCSE,Religious Studies Unit 1 (Option A – Option F) (WALES),,2h,,
EDUQAS,13/05/2019,AM,3C500U10-1,Computer Science,GCSE,Computer Science Component 1 (EDUQAS),,1h 45m,,
EDUQAS,13/05/2019,PM,3C120U10-1,Religious Studies,GCSE,Religious Studies (Full Course) Route A Component 1 (EDUQAS),,2h,,
WJEC,13/05/2019,AM,34331/01,ICT,GCSE,ICT Unit 1*,*NB For centres in England - this is only available for resit candidates,1h 30m,,
EDUQAS,13/05/2019,PM,3C120U80-1,Religious Studies,GCSE,Religious Studies (Full Course) Route B Component 1 (EDUQAS),,1h 30m,,
EDUQAS,13/05/2019,AM,3C990U10-1,Latin,GCSE,Latin Component 1 (EDUQAS),,1h 30m,,
EDUQAS,13/05/2019,PM,3C125U10-1,Religious Studies,GCSE,Religious Studies (Short Course) Component 1 (EDUQAS),,1h,,
WJEC,14/05/2019,AM,3800U20-1,French,GCSE,French Unit 2 Listening Foundation Tier (WALES),,35m,,
WJEC,14/05/2019,PM,3400U20-1,Biology,GCSE,Biology Unit 2 Foundation Tier (WALES),,1h 45m,,
WJEC,14/05/2019,AM,3800UB0-1,French,GCSE,French Unit 2 Listening Higher Tier (WALES),,45m,,
WJEC,14/05/2019,PM,3400UB0-1,Biology,GCSE,Biology Unit 2 Higher Tier (WALES),,1h 45m,,
WJEC,14/05/2019,AM,3800U30-1,French,GCSE,French Unit 3 Reading Foundation Tier (WALES),,1h,,
WJEC,14/05/2019,PM,3430U40-1,Double Award Science,GCSE,Science: Biology 2 (Double Award) Unit 4 Foundation Tier (WALES) 1h 15m,,,,
WJEC,14/05/2019,AM,3800UC0-1,French,GCSE,French Unit 3 Reading Higher Tier (WALES),,1h 15m,,
WJEC,14/05/2019,PM,3430UD0-1,Double Award Science,GCSE,Science: Biology 2 (Double Award) Unit 4 Higher Tier (WALES),,1h 15m,,
EDUQAS,14/05/2019,AM,C800U20-1,French,GCSE,French Component 2 Listening Foundation Tier (EDUQAS),,35m,,
WJEC,14/05/2019,PM,3445U30-1,Double Award Applied Science,GCSE,Applied Science (Double Award) Unit 3 Foundation Tier (WALES),,1h 30m,,
EDUQAS,14/05/2019,AM,C800UB0-1,French,GCSE,French Component 2 Listening Higher Tier (EDUQAS),,45m,,
WJEC,14/05/2019,PM,3445UC0-1,Double Award Applied Science,GCSE,Applied Science (Double Award) Unit 3 Higher Tier (WALES),,1h 30m,,
EDUQAS,14/05/2019,AM,C800U30-1,French,GCSE,French Component 3 Reading Foundation Tier (EDUQAS),,1h,,
WJEC,14/05/2019,PM,3440U20-1,Single Award Applied Science,GCSE,Applied Science (Single Award) Unit 2 Foundation Tier (WALES),,1h 30m,,
EDUQAS,14/05/2019,AM,C800UC0-1,French,GCSE,French Component 3 Reading Higher Tier (EDUQAS),,1h 15m,,
WJEC,14/05/2019,PM,3440UB0-1,Single Award Applied Science,GCSE,Applied Science (Single Award) Unit 2 Higher Tier (WALES),,1h 30m,,
EDUQAS,14/05/2019,PM,C400U10-1,Biology,GCSE,Biology Component 1 Foundation Tier (EDUQAS),,2h 15m,,
EDUQAS,14/05/2019,PM,C400UA0-1,Biology,GCSE,Biology Component 1 Higher Tier (EDUQAS),,2h 15m,,
EDUQAS,14/05/2019,PM,C430U10-1,Combined Science,GCSE,Combined Science Biology Component 1 Foundation Tier (EDUQAS),,1h 45m,,
EDUQAS,14/05/2019,PM,C430UA0-1,Combined Science,GCSE,Combined Science Biology Component 1 Higher Tier (EDUQAS),,1h 45m,,
WJEC,15/05/2019,AM,3550U10-1,Physical Education,GCSE,Physical Education (Full Course) Unit 1 (WALES),,2h,,
WJEC,15/05/2019,PM,3720U10-1,English Literature,GCSE,English Literature Unit 1 Foundation Tier (WALES),,2h,,
WJEC,15/05/2019,AM,3555U10-1,Physical Education,GCSE,Physical Education (Short Course) Unit 1 (WALES),,1h,,
WJEC,15/05/2019,PM,3720UA0-1,English Literature,GCSE,English Literature Unit 1 Higher Tier (WALES),,2h,,
