Exam board,Date,Morning/Afternoon,Code,Course,Qualification,Paper,Notes,Duration,POS,Exam spec
Edexcel,10/06/2019,AM,1AA0 1F,Arabic,GCSE,Arabic Paper 1: Listening and understanding in Arabic,,0h 35m,,
Edexcel,10/06/2019,AM,1AA0 1H,Arabic,GCSE,Arabic Paper 1: Listening and understanding in Arabic,,0h 45m,,
Edexcel,10/06/2019,AM,1AA0 3F,Arabic,GCSE,Arabic Paper 3: Reading and understanding in Arabic,,0h 50m,,
Edexcel,10/06/2019,AM,1AA0 3H,Arabic,GCSE,Arabic Paper 3: Reading and understanding in Arabic,,1h 05m,,
Edexcel,13/06/2019,PM,1AA0 4F,Arabic,GCSE,Arabic Paper 4: Writing in Arabic,,1h 15m,,
Edexcel,13/06/2019,PM,1AA0 4H,Arabic,GCSE,Arabic Paper 4: Writing in Arabic,,1h 25m,,
Edexcel,03/06/2019,PM,1AS0 01,Astronomy,GCSE,Astronomy Paper 1: Naked-eye Astronomy,,1h 45m,,
Edexcel,10/06/2019,PM,1AS0 02,Astronomy,GCSE,Astronomy Paper 2: Telescopic Astronomy,,1h 45m,,
Edexcel,24/05/2019,AM,1BS0 01,Business,GCSE,Business: Investigating Small Business,,1h 30m,,
Edexcel,04/06/2019,PM,1BS0 02,Business,GCSE,Business: Building a Business,,1h 30m,,
Edexcel,22/05/2019,AM,1CN0 1F,Chinese,GCSE,Chinese Paper 1: Listening and understanding in Chinese,,0h 35m,,
Edexcel,22/05/2019,AM,1CN0 1H,Chinese,GCSE,Chinese Paper 1: Listening and understanding in Chinese,,0h 45m,,
Edexcel,22/05/2019,AM,1CN0 3F,Chinese,GCSE,Chinese Paper 3: Reading and understanding in Chinese,,0h 50m,,
Edexcel,22/05/2019,AM,1CN0 3H,Chinese,GCSE,Chinese Paper 3: Reading and understanding in Chinese,,1h 05m,,
Edexcel,03/06/2019,PM,1CN0 4F,Chinese,GCSE,Chinese Paper 4: Writing in Chinese,,1h 15m,,
Edexcel,03/06/2019,PM,1CN0 4H,Chinese,GCSE,Chinese Paper 4: Writing in Chinese,,1h 25m,,
Edexcel,12/06/2019,PM,1CS0 01,Citizenship Studies,GCSE,Citizenship Studies Paper 1,,1h 45m,,
Edexcel,17/06/2019,AM,1CS0 02,Citizenship Studies,GCSE,Citizenship Studies Paper 2,,1h 45m,,
Edexcel,14/05/2019,PM,1SC0 1BF,Combined Science,GCSE,Combined Science Biology 1,,1h 10m,,
Edexcel,14/05/2019,PM,1SC0 1BH,Combined Science,GCSE,Combined Science Biology 1,,1h 10m,,
Edexcel,07/06/2019,PM,1SC0 2BF,Combined Science,GCSE,Combined Science Biology 2,,1h 10m,,
Edexcel,07/06/2019,PM,1SC0 2BH,Combined Science,GCSE,Combined Science Biology 2,,1h 10m,,
Edexcel,16/05/2019,AM,1SC0 1CF,Combined Science,GCSE,Combined Science Chemistry 1,,1h 10m,,
Edexcel,16/05/2019,AM,1SC0 1CH,Combined Science,GCSE,Combined Science Chemistry 1,,1h 10m,,
Edexcel,12/06/2019,AM,1SC0 2CF,Combined Science,GCSE,Combined Science Chemistry 2,,1h 10m,,
Edexcel,12/06/2019,AM,1SC0 2CH,Combined Science,GCSE,Combined Science Chemistry 2,,1h 10m,,
Edexcel,22/05/2019,PM,1SC0 1PF,Combined Science,GCSE,Combined Science Physics 1,,1h 10m,,
Edexcel,22/05/2019,PM,1SC0 1PH,Combined Science,GCSE,Combined Science Physics 1,,1h 10m,,
Edexcel,14/06/2019,AM,1SC0 2PF,Combined Science,GCSE,Combined Science Physics 2,,1h 10m,,
Edexcel,14/06/2019,AM,1SC0 2PH,Combined Science,GCSE,Combined Science Physics 2,,1h 10m,,
Edexcel,13/05/2019,AM,1CP1 01,Computer Science,GCSE,Computer Science Paper 1: Principles of Computer Science,,1h 40m,,
Edexcel,16/05/2019,PM,1CP1 02,Computer Science,GCSE,Computer Science Paper 2: Application of Computational Thinking,,2h 00m,,
Edexcel,24/05/2019,PM,1DT0 1A,Design and Technology,GCSE,Design and Technology Component 1: Metals,,1h 45m,,
Edexcel,24/05/2019,PM,1DT0 1B,Design and Technology,GCSE,Design and Technology Component 1: Papers and boards,,1h 45m,,
Edexcel,24/05/2019,PM,1DT0 1C,Design and Technology,GCSE,Design and Technology Component 1: Polymers,,1h 45m,,
Edexcel,24/05/2019,PM,1DT0 1D,Design and Technology,GCSE,Design and Technology Component 1: Systems,,1h 45m,,
Edexcel,24/05/2019,PM,1DT0 1E,Design and Technology,GCSE,Design and Technology Component 1: Textiles,,1h 45m,,
Edexcel,24/05/2019,PM,1DT0 1F,Design and Technology,GCSE,Design and Technology Component 1: Timbers,,1h 45m,,
Edexcel,17/05/2019,PM,1DR0 03,Drama,GCSE,Drama Component 3: Theatre Makers in Practice,,1h 30m,,
Edexcel,04/06/2019,AM,1EN0 01,English Language,GCSE,English Language Paper 1: Fiction and Imaginative Writing,,1h 45m,,
Edexcel,07/06/2019,AM,1EN0 02,English Language,GCSE,English Language Paper 2: Non-Fiction and Transactional Writing,,2h 05m,,
Edexcel,15/05/2019,PM,1ET0 01,English Literature,GCSE,English Literature Paper 1: Shakespeare and Post-1914 Literature,,1h 45m,,
Edexcel,23/05/2019,AM,1ET0 02,English Literature,GCSE,English Literature Paper 2: 19th Century Novel and Poetry since 1789,,2h 15m,,
Edexcel,14/05/2019,AM,1FR0 1F,French,GCSE,French Paper 1: Listening and understanding in French,,0h 35m,,
Edexcel,14/05/2019,AM,1FR0 1H,French,GCSE,French Paper 1: Listening and understanding in French,,0h 45m,,
Edexcel,14/05/2019,AM,1FR0 3F,French,GCSE,French Paper 3: Reading and understanding in French,,0h 45m,,
Edexcel,14/05/2019,AM,1FR0 3H,French,GCSE,French Paper 3: Reading and understanding in French,,1h 00m,,
Edexcel,17/05/2019,AM,1FR0 4F,French,GCSE,French Paper 4: Writing in French,,1h 10m,,
Edexcel,17/05/2019,AM,1FR0 4H,French,GCSE,French Paper 4: Writing in French,,1h 20m,,
Edexcel,21/05/2019,PM,1GA0 01,Geography A,GCSE,Geography A Paper 1: The Physical Environment,,1h 30m,,
Edexcel,05/06/2019,PM,1GA0 02,Geography A,GCSE,Geography A Paper 2: The Human Environment,,1h 30m,,
Edexcel,13/06/2019,AM,1GA0 03,Geography A,GCSE,Geography A Paper 3: Geographical Investigations: Fieldwork and UK Challenges,,1h 30m,,
Edexcel,21/05/2019,PM,1GB0 01,Geography B,GCSE,Geography B Paper 1: Global Geographical Issues,,1h 30m,,
Edexcel,05/06/2019,PM,1GB0 02,Geography B,GCSE,Geography B Paper 2: UK Geographical Issues,,1h 30m,,
Edexcel,13/06/2019,AM,1GB0 03,Geography B,GCSE,Geography B Paper 3: People and Environment Issues – Making Geographical Decisions,,1h 30m,,
Edexcel,12/06/2019,PM,1GN0 1F,German,GCSE,German Paper 1: Listening and understanding in German,,0h 35m,,
Edexcel,12/06/2019,PM,1GN0 1H,German,GCSE,German Paper 1: Listening and understanding in German,,0h 45m,,
Edexcel,12/06/2019,PM,1GN0 3F,German,GCSE,German Paper 3: Reading and understanding in German,,0h 45m,,
Edexcel,12/06/2019,PM,1GN0 3H,German,GCSE,German Paper 3: Reading and understanding in German,,1h 00m,,
Edexcel,17/06/2019,AM,1GN0 4F,German,GCSE,German Paper 4: Writing in German,,1h 10m,,
Edexcel,17/06/2019,AM,1GN0 4H,German,GCSE,German Paper 4: Writing in German,,1h 20m,,
Edexcel,14/06/2019,PM,1GK0 1F,Greek,GCSE,Greek Paper 1: Listening and understanding in Greek,,0h 35m,,
Edexcel,14/06/2019,PM,1GK0 1H,Greek,GCSE,Greek Paper 1: Listening and understanding in Greek,,0h 45m,,
Edexcel,14/06/2019,PM,1GK0 3F,Greek,GCSE,Greek Paper 3: Reading and understanding in Greek,,0h 50m,,
Edexcel,14/06/2019,PM,1GK0 3H,Greek,GCSE,Greek Paper 3: Reading and understanding in Greek,,1h 05m,,
Edexcel,19/06/2019,AM,1GK0 4F,Greek,GCSE,Greek Paper 4: Writing in Greek,,1h 15m,,
Edexcel,19/06/2019,AM,1GK0 4H,Greek,GCSE,Greek Paper 4: Writing in Greek,,1h 25m,,
Edexcel,03/06/2019,AM,1HI0 10-12,History,GCSE,History Paper 1: Thematic study and historic environment,,1h 15m,,
Edexcel,06/06/2019,PM,1HI0 2A-2W,History,GCSE,History Paper 2: Period study and British depth study,,1h 45m,,
Edexcel,11/06/2019,PM,1HI0 30-33,History,GCSE,History Paper 3: Modern depth study,,1h 20m,,
Edexcel,24/05/2019,AM,1IN0 1F,Italian,GCSE,Italian Paper 1: Listening and understanding in Italian,,0h 35m,,
Edexcel,24/05/2019,AM,1IN0 1H,Italian,GCSE,Italian Paper 1: Listening and understanding in Italian,,0h 45m,,
Edexcel,24/05/2019,AM,1IN0 3F,Italian,GCSE,Italian Paper 3: Reading and understanding in Italian,,0h 45m,,
Edexcel,24/05/2019,AM,1IN0 3H,Italian,GCSE,Italian Paper 3: Reading and understanding in Italian,,1h 00m,,
Edexcel,03/06/2019,PM,1IN0 4F,Italian,GCSE,Italian Paper 4: Writing in Italian,,1h 10m,,
Edexcel,03/06/2019,PM,1IN0 4H,Italian,GCSE,Italian Paper 4: Writing in Italian,,1h 20m,,
Edexcel,20/05/2019,PM,1JA0 1F,Japanese,GCSE,Japanese Paper 1: Listening and understanding in Japanese,,0h 35m,,
Edexcel,20/05/2019,PM,1JA0 1H,Japanese,GCSE,Japanese Paper 1: Listening and understanding in Japanese,,0h 45m,,
Edexcel,20/05/2019,PM,1JA0 3F,Japanese,GCSE,Japanese Paper 3: Reading and understanding in Japanese,,0h 50m,,
Edexcel,20/05/2019,PM,1JA0 3H,Japanese,GCSE,Japanese Paper 3: Reading and understanding in Japanese,,1h 05m,,
Edexcel,24/05/2019,PM,1JA0 4F,Japanese,GCSE,Japanese Paper 4: Writing in Japanese,,1h 15m,,
Edexcel,24/05/2019,PM,1JA0 4H,Japanese,GCSE,Japanese Paper 4: Writing in Japanese,,1h 25m,,
Edexcel,21/05/2019,AM,1MA1 1F,Mathematics,GCSE,Mathematics Paper 1: Non-Calculator Foundation Tier,,1h 30m,,
Edexcel,21/05/2019,AM,1MA1 1H,Mathematics,GCSE,Mathematics Paper 1: Non-Calculator Higher Tier,,1h 30m,,
Edexcel,06/06/2019,AM,1MA1 2F,Mathematics,GCSE,Mathematics Paper 2: Calculator Foundation Tier,,1h 30m,,
Edexcel,06/06/2019,AM,1MA1 2H,Mathematics,GCSE,Mathematics Paper 2: Calculator Higher Tier,,1h 30m,,
Edexcel,11/06/2019,AM,1MA1 3F,Mathematics,GCSE,Mathematics Paper 3: Calculator Foundation Tier,,1h 30m,,
Edexcel,11/06/2019,AM,1MA1 3H,Mathematics,GCSE,Mathematics Paper 3: Calculator Higher Tier,,1h 30m,,
Edexcel,04/06/2019,PM,1MU0 03,Music,GCSE,Music Component 3: Appraising,,1h 45m,,
Edexcel,15/05/2019,AM,1PE0 01,Physical Education,GCSE,Physical Education Paper 1: Fitness and Body Systems,,1h 45m,,
Edexcel,17/05/2019,PM,1PE0 02,Physical Education,GCSE,Physical Education Paper 2: Health and Performance,,1h 15m,,
Edexcel,15/05/2019,AM,3PE0 01,Physical Education (short course),GCSE,Physical Education (short course) Paper 1: Theory,,1h 30m,,
Edexcel,24/05/2019,AM,1PS0 01,Psychology,GCSE,Psychology Paper 1,,1h 45m,,
Edexcel,03/06/2019,PM,1PS0 02,Psychology,GCSE,Psychology Paper 2,,1h 20m,,
Edexcel,13/05/2019,PM,3RA0 01,Religious Studies (Short Course) A,GCSE,Religious Studies (Short Course) A Paper 1: Area of Study 1 – Study of Catholic Christianity,,0h 50m,,
Edexcel,13/05/2019,PM,3RA0 02,Religious Studies (Short Course) A,GCSE,Religious Studies (Short Course) A Paper 2: Area of Study 2 – Study of Christianity,,0h 50m,,
Edexcel,20/05/2019,AM,3RA0 03,Religious Studies (Short Course) A,GCSE,Religious Studies (Short Course) A Paper 3: Area of Study 3 – Study of Islam,,0h 50m,,
Edexcel,23/05/2019,PM,3RA0 04,Religious Studies (Short Course) A,GCSE,Religious Studies (Short Course) A Paper 4: Area of Study 4 – Study of Judaism,,0h 50m,,
Edexcel,13/05/2019,PM,3RB0 1A-1G,Religious Studies (Short Course) B,GCSE,Religious Studies (Short Course) B Paper 1: Area of Study 1 – Religion and Ethics,,0h 50m,,
Edexcel,20/05/2019,AM,3RB0 2A-2G,Religious Studies (Short Course) B,GCSE,"Religious Studies (Short Course) B Paper 2: Area of Study 2 – Religion, Peace and Conflict",,0h 50m,,
Edexcel,13/05/2019,PM,1RA0 1A-1C,Religious Studies A,GCSE,Religious Studies A Paper 1: Area of Study 1 – Study of Religion,,1h 45m,,
Edexcel,20/05/2019,AM,1RA0 2A-2G,Religious Studies A,GCSE,Religious Studies A Paper 2: Area of Study 2 – Study of Second Religion,,0h 50m,,
Edexcel,23/05/2019,PM,1RA0 3A-3C,Religious Studies A,GCSE,Religious Studies A Paper 3: Area of Study 3 – Philosophy and Ethics,,0h 50m,,
Edexcel,23/05/2019,PM,1RA0 4A-4B,Religious Studies A,GCSE,Religious Studies A Paper 4: Area of Study 4 – Textual Studies,,0h 50m,,
Edexcel,13/05/2019,PM,1RB0 1A-1G,Religious Studies B,GCSE,Religious Studies B Paper 1: Area of Study 1 – Religion and Ethics,,1h 45m,,
Edexcel,20/05/2019,AM,1RB0 2A-2G,Religious Studies B,GCSE,"Religious Studies B Paper 2: Area of Study 2 – Religion, Peace and Conflict",,1h 45m,,
Edexcel,23/05/2019,PM,1RB0 3A-3G,Religious Studies B,GCSE,"Religious Studies B Paper 3: Area of Study 3 – Religion, Philosophy and Social Justice",,1h 45m,,
Edexcel,10/06/2019,AM,1RU0 1F,Russian,GCSE,Russian Paper 1: Listening and understanding in Russian,,0h 35m,,
Edexcel,10/06/2019,AM,1RU0 1H,Russian,GCSE,Russian Paper 1: Listening and understanding in Russian,,0h 45m,,
Edexcel,10/06/2019,AM,1RU0 3F,Russian,GCSE,Russian Paper 3: Reading and understanding in Russian,,0h 50m,,
Edexcel,10/06/2019,AM,1RU0 3H,Russian,GCSE,Russian Paper 3: Reading and understanding in Russian,,1h 05m,,
Edexcel,14/06/2019,PM,1RU0 4F,Russian,GCSE,Russian Paper 4: Writing in Russian,,1h 15m,,
Edexcel,14/06/2019,PM,1RU0 4H,Russian,GCSE,Russian Paper 4: Writing in Russian,,1h 25m,,
Edexcel,14/05/2019,PM,1BI0 1F,Science (Biology),GCSE,Science (Biology) Paper 1,,1h 45m,,
Edexcel,14/05/2019,PM,1BI0 1H,Science (Biology),GCSE,Science (Biology) Paper 1,,1h 45m,,
Edexcel,07/06/2019,PM,1BI0 2F,Science (Biology),GCSE,Science (Biology) Paper 2,,1h 45m,,
Edexcel,07/06/2019,PM,1BI0 2H,Science (Biology),GCSE,Science (Biology) Paper 2,,1h 45m,,
Edexcel,16/05/2019,AM,1CH0 1F,Science (Chemistry),GCSE,Science (Chemistry) Paper 1,,1h 45m,,
Edexcel,16/05/2019,AM,1CH0 1H,Science (Chemistry),GCSE,Science (Chemistry) Paper 1,,1h 45m,,
Edexcel,12/06/2019,AM,1CH0 2F,Science (Chemistry),GCSE,Science (Chemistry) Paper 2,,1h 45m,,
Edexcel,12/06/2019,AM,1CH0 2H,Science (Chemistry),GCSE,Science (Chemistry) Paper 2,,1h 45m,,
Edexcel,22/05/2019,PM,1PH0 1F,Science (Physics),GCSE,Science (Physics) Paper 1,,1h 45m,,
Edexcel,22/05/2019,PM,1PH0 1H,Science (Physics),GCSE,Science (Physics) Paper 1,,1h 45m,,
Edexcel,14/06/2019,AM,1PH0 2F,Science (Physics),GCSE,Science (Physics) Paper 2,,1h 45m,,
Edexcel,14/06/2019,AM,1PH0 2H,Science (Physics),GCSE,Science (Physics) Paper 2,,1h 45m,,
Edexcel,22/05/2019,AM,1SP0 1F,Spanish,GCSE,Spanish Paper 1: Listening and understanding in Spanish,,0h 35m,,
Edexcel,22/05/2019,AM,1SP0 1H,Spanish,GCSE,Spanish Paper 1: Listening and understanding in Spanish,,0h 45m,,
Edexcel,22/05/2019,AM,1SP0 3F,Spanish,GCSE,Spanish Paper 3: Reading and understanding in Spanish,,0h 45m,,
Edexcel,22/05/2019,AM,1SP0 3H,Spanish,GCSE,Spanish Paper 3: Reading and understanding in Spanish,,1h 00m,,
Edexcel,05/06/2019,AM,1SP0 4F,Spanish,GCSE,Spanish Paper 4: Writing in Spanish,,1h 10m,,
Edexcel,05/06/2019,AM,1SP0 4H,Spanish,GCSE,Spanish Paper 4: Writing in Spanish,,1h 20m,,
Edexcel,13/06/2019,PM,1ST0 1F,Statistics,GCSE,Statistics Unit 1: Foundation Tier,,1h 30m,,
Edexcel,13/06/2019,PM,1ST0 1H,Statistics,GCSE,Statistics Unit 1: Higher Tier,,1h 30m,,
Edexcel,18/06/2019,AM,1ST0 2F,Statistics,GCSE,Statistics Unit 2: Foundation Tier,,1h 30m,,
Edexcel,18/06/2019,AM,1ST0 2H,Statistics,GCSE,Statistics Unit 2: Higher Tier,,1h 30m,,
Edexcel,15/05/2019,AM,1UR0 1F,Urdu,GCSE,Urdu Paper 1: Listening and understanding in Urdu,,0h 35m,,
Edexcel,15/05/2019,AM,1UR0 1H,Urdu,GCSE,Urdu Paper 1: Listening and understanding in Urdu,,0h 45m,,
