Exam board,Date,Morning/Afternoon,SDT11,Course,Qualification,Paper,Notes,Time,Duration,POS,Exam spec
CEA,01/05/2018,Morning,SCH31,Chemistry,GCE,Chemistry AS Unit 3 Practical (1hr 15m),,9:15 - 10:30,1hr 15m,,
CEA,02/05/2018,Morning,SBY31,Biology,GCE,Biology AS Unit 3 Theory (1hr),, 9:15 - 10:15,1hr,,
CEA,03/05/2018,Morning,SPH31,Physics,GCE,Physics AS Unit 3 Practical (1hr),, 9:15 - 10:15,1hr,,
CEA,04/05/2018,Morning,ABY31,Biology,GCE,Biology A2 Unit 3 Theory (1hr 15m) (New) ,,9:15 - 10:30,1hr 15m,,
CEA,09/05/2018,Morning,APH31,Physics,GCE,Physics A2 Unit 3 Practical (1hr) (New) ,,9:15 - 10:15,1hr,,
CEA,09/05/2018,Morning,AY231,Physics,GCE,Physics A2 Unit 3 Practical (1hr 30m),,9:15 - 10:45,1hr 30m,,
CEA,10/05/2018,Morning,AC233,Chemistry,GCE,Chemistry A2 Unit 3 Practical (1hr 15m),,9:15 - 10:30,1hr 15m,,
CEA,10/05/2018,Morning,ACH31,Chemistry,GCE,Chemistry A2 Unit 3 Practical (1hr 15m) (New),, 9:15 - 10:30,1hr 15m,,
CEA,11/05/2018,Morning,APH32,Physics,GCE,Physics A2 Unit 3 Theory (1hr) (New) ,,9:15 - 10:15,1hr,,
CEA,14/05/2018,Morning,AMC11,Mathematics,GCE,Mathematics C1 (1hr 30m),,9:15 - 10:45,1hr 30m,,
CEA,14/05/2018,Morning,SEC11,Economics,GCE,Economics AS Unit 1 (1hr 30m),,9:15 - 10:45,1hr 30m,,
CEA,14/05/2018,Morning,SEP21,Spanish,GCE,Spanish AS 2 Section A (40m),,9:15 - 9:55,40m,,
CEA,14/05/2018,Morning,SEP22,Spanish,GCE,Spanish AS 2 Section B & C (1hr 20m),,10:10 - 11:30,1hr 20m,,
CEA,15/05/2018,Morning,SHA11,History of Art,GCE,History of Art AS Unit 1 (1hr 30m),,9:15 - 10:45,1hr 30m,,
CEA,15/05/2018,Morning,SPH11,Physics,GCE,Physics AS Unit 1 (1hr 45m),,9:15 - 11:00,1hr 45m,,
CEA,16/05/2018,Morning,SET11,Environmental Technology,GCE,Environmental Technology AS Unit 1 (1hr 30m),,9:15 - 10:45,1hr 30m,,
CEA,16/05/2018,Morning,SHC31,Health and Social Care,GCE,Health & Social Care AS Unit 3 (2hrs),,9:15 - 11:15,2hrs,,
CEA,16/05/2018,Morning,SNF11,Nutrition and Food Science,GCE,Nutrition and Food Science AS Unit 1 (1hr 30m),,9:15 - 10:45,1hr 30m,,
CEA,17/05/2018,Morning,SEC21,Economics,GCE,Economics AS Unit 2 (1hr 30m),,9:15 - 10:45,1hr 30m,,
CEA,17/05/2018,Morning,SRE11,Religious Studies,GCE, Religious Studies AS Unit 1 (1hr 20m),, 9:15 - 10:35,1hr 20m,,
CEA,17/05/2018,Morning,SRE21,Religious Studies,GCE,Religious Studies AS Unit 2 (1hr 20m),,9:15 - 10:35,1hr 20m,,
CEA,17/05/2018,Morning,SRE31,Religious Studies,GCE, Religious Studies AS Unit 3 (1hr 20m),,9:15 - 10:35,1hr 20m,,
CEA,18/05/2018,Morning,SAL21,Sports Science ,GCE,Sports Science AS Unit 2 (2hrs),,9:15 - 11:15,2hrs,,
CEA,18/05/2018,Morning,SEL11,English Literature,GCE,English Literature AS Unit 1 (2hrs),,9:15 - 11:15,2hrs,,
CEA,18/05/2018,Morning,SPH21,Physics,GCE,Physics AS Unit 2 (1hr 45m),,9:15 - 11:00,1hr 45m,,
CEA,14/05/2018,Afternoon,STE11,Technology and Design (Systems and Control),GCE,T & D Systems & Control AS 1 Core (1hr),, 1:30 - 2:30,1hr,,
CEA,14/05/2018,Afternoon,STE12,Technology and Design (Systems and Control),GCE,T & D Systems & Control AS 1 Options (1hr),, 2:50 - 3:50,1hr,,
CEA,15/05/2018,Afternoon,SGG11,Geography,GCE,Geography AS Unit 1 (1hr 15m),, 1:30 - 2:45,1hr 15m,,
CEA,15/05/2018,Afternoon,SZ021,Life and Health Sciences,GCE,Life and Health Sciences AS Unit 2 (1hr 30m),,1:30 - 3:00,1hr 30m,,
CEA,16/05/2018,Afternoon,SGM21,German,GCE,German AS 2 Section A (40m),,1:30 - 2:10,40m,,
CEA,16/05/2018,Afternoon,SGM22,German,GCE, German AS 2 Section B & C (1hr 20m),,2:25 - 3:45,1hr 20m,,
CEA,16/05/2018,Afternoon,SHY11, History,GCE, History AS Unit 1 (1hr 30m),, 1:30 - 3:00,1hr 30m,,
CEA,17/05/2018,Afternoon,AMS11,Mathematics,GCE,Mathematics S1 (1hr 30m),, 1:30 - 3:00,1hr 30m,,
CEA,17/05/2018,Afternoon,SHA21,History of Art,GCE,History of Art AS Unit 2 (1hr 30m),, 1:30 - 3:00,1hr 30m,,
CEA,17/05/2018,Afternoon,SJR11,Journalism,GCE, Journalism AS Unit 1 (2hrs),,1:30 - 3:30,2hrs,,
CEA,18/05/2018,Afternoon,SAB31,Applied Business,GCE,Applied Business AS Unit 3 (1hr 30m),, 1:30 - 3:00,1hr 30m,,
CEA,18/05/2018,Afternoon,SBU11,Business Studies,GCE,Business Studies AS Unit 1 (1hr 30m),, 1:30 - 3:00,1hr 30m,,
CEA,18/05/2018,Afternoon,SEP31,Spanish,GCE,Spanish AS Unit 3 (1hr),, 1:30 - 2:30,1hr,,
CEA,18/05/2018,Afternoon,SZ031,Life and Health Sciences,GCE,Life and Health Sciences AS Unit 3 (1hr 30m),, 1:30 - 3:00,1hr 30m,,
CEA,21/05/2018,Morning,SNF21,Nutrition and Food Science,GCE,Nutrition and Food Science AS Unit 2 (1hr 30m),,9:15 - 10:45,1hr 30m,,
CEA,22/05/2018,Morning,SCH12,Chemistry,GCE,Chemistry AS Unit 1 (1hr 30m),,9:15 - 10:45,1hr 30m,,
CEA,22/05/2018,Morning,SGM31,German,GCE,German AS Unit 3 (1hr),,9:15 - 10:15,1hr,,
CEA,22/05/2018,Morning,SMU31,Music,GCE,Music AS Unit 3 Paper 1 (1hr),,9:15 - 10:15,1hr,,
CEA,23/05/2018,Morning,AMC21,Mathematics,GCE,Mathematics C2 (1hr 30m),,9:15 - 10:45,1hr 30m,,
CEA,23/05/2018,Morning,SHC51,Health & Social Care,GCE,Health & Social Care AS Unit 5 (2hrs),,9:15 - 11:15,2hrs,,
CEA,23/05/2018,Morning,SHC71,Health & Social Care,GCE,Health & Social Care AS Unit 7 (2hrs),,9:15 - 11:15,2hrs,,
CEA,23/05/2018,Morning,SMX21,Moving Image Arts,GCE,Moving Image Arts AS Unit 2 (1hr 30m),,9:15 - 10:45,1hr 30m,,
CEA,23/05/2018,Morning,SRE41,Religious Studies,GCE,Religious Studies AS Unit 4 (1hr 20m),,9:15 - 10:35,1hr 20m,,
CEA,23/05/2018,Morning,SRE51,Religious Studies,GCE,Religious Studies AS Unit 5 (1hr 20m),,9:15 - 10:35,1hr 20m,,
CEA,23/05/2018,Morning,SRE61,Religious Studies,GCE,Religious Studies AS Unit 6 (1hr 20m),,9:15 - 10:35,1hr 20m,,
CEA,24/05/2018,Morning,AN211,Home Economics,GCE,Home Economics A2 Unit 1 (2hrs),,9:15 - 11:15,2hrs,,
CEA,24/05/2018,Morning,ANF11,Nutrition and Food Science,GCE,Nutrition & Food Science A2 Unit 1 (2hrs 30m) (New),,9:15 - 11:45,2hrs 30m,,
CEA,24/05/2018,Morning,SGG21,Geography,GCE,Geography AS Unit 2 (1hr 15m),,9:15 - 10:30,1hr 15m,,
CEA,25/05/2018,Morning,SCH22,Chemistry,GCE,Chemistry AS Unit 2 (1hr 30m),,9:15 - 10:45,1hr 30m,,
CEA,25/05/2018,Morning,SRE71,Religious Studies,GCE,Religious Studies AS Unit 7 (1hr 20m),,9:15 - 10:35,1hr 20m,,
CEA,21/05/2018,Afternoon,SZ051,Life and Health Sciences,GCE,Life and Health Sciences AS Unit 5 (1hr 30m),,1:30 - 3:00,1hr 30m,,
CEA,22/05/2018,Afternoon,A2JA1,Journalism,GCE,Journalism A2 Unit 1 (2hrs),, 1:30 - 3:30,2hrs,,
CEA,22/05/2018,Afternoon,AJR11,Journalism,GCE,Journalism A2 Unit 1 (2hrs) (New) ,, 1:30 - 3:30,2hrs ,,
CEA,22/05/2018,Afternoon,AMF11,Further Mathematics,GCE,Further Mathematics F1 (1hr 30m),, 1:30 - 3:00,1hr 30m,,
CEA,22/05/2018,Afternoon,SHY21,History,GCE,History AS Unit 2 (1hr 30m),, 1:30 - 3:00,1hr 30m,,
CEA,22/05/2018,Afternoon,SMU32,Music,GCE,Music AS Unit 3 Paper 2 (2hrs),, 1:30 - 3:30,2hrs,,
CEA,23/05/2018,Afternoon,SEL21,English Literature,GCE,English Literature AS Unit 2 (1hr),,1:30 - 2:30,1hr,,
CEA,23/05/2018,Afternoon,SPB11,Professional Business Services,GCE,Professional Business Services AS Unit 1 (1hr 30m) (New),,1:30 - 3:00,1hr 30m,,
CEA,24/05/2018,Afternoon,AZ021,Life and Health Sciences,GCE,Life and Health Sciences A2 Unit 2 (1hr 45m) (New),, 1:30 - 3:15,1hr 45m,,
CEA,24/05/2018,Afternoon,SBY11,Biology,GCE,Biology AS Unit 1 (1hr 30m),, 1:30 - 3:00,1hr 30m,,
CEA,24/05/2018,Afternoon,SDV11,Software Systems Development,GCE,Software Systems Development AS Unit 1 (2hrs),, 1:30 - 3:30,2hrs,,
CEA,24/05/2018,Afternoon,SGP11,Government and Politics,GCE,Government & Politics AS Unit 1 (1hr 15m),, 1:30 - 2:45,1hr 15m,,
CEA,25/05/2018,Afternoon,SAB41,Applied Busines,GCE,Applied Business AS Unit 4 (1hr 30m),, 1:30 - 3:00,1hr 30m,,
CEA,25/05/2018,Afternoon,SBU21,Business Studies,GCE,Business Studies AS Unit 2 (1hr 30m),,1:30 - 3:00,1hr 30m,,
CEA,25/05/2018,Afternoon,SIR21,Irish,GCE,Irish AS 2 Section A (40m),, 1:30 - 2:10,40m,,
CEA,25/05/2018,Afternoon,SIR22,Irish,GCE,Irish AS 2 Section B & C (1hr 20m),, 2:25 - 3:45,1hr 20m,,
CEA,29/05/2018,Morning,AMM11,Mathematics,GCE,Mathematics M1 (1hr 30m),, 9:15 - 10:45,1hr 30m,,
CEA,30/05/2018,Morning,SPB31,Professional Business Services,GCE,Professional Business Services AS Unit 3 (1hr 30m) (New),,9:15 - 10:45,1hr 30m,,
CEA,31/05/2018,Morning,AMC31,Mathematics,GCE,Mathematics C3 (1hr 30m),, 9:15 - 10:45,1hr 30m,,
CEA,31/05/2018,Morning,SGG31,Geography,GCE,Geography AS Unit 3 (1hr),, 9:15 - 10:15,1hr,,
CEA,01/06/2018,Morning,SRE81,Religious Studies,GCE, Religious Studies AS Unit 8 (1hr 20m),, 9:15 - 10:35,1hr 20m,,
CEA,29/05/2018,Afternoon,AZ031,Life and Health Sciences,GCE,Life and Health Sciences A2 Unit 3 (1hr 45m) (New),,1:30 - 3:15,1hr 45m,,
CEA,29/05/2018,Afternoon,SIR31,Irish,GCE,Irish AS Unit 3 (1hr) ,,1:30 - 2:30,1hr ,,
CEA,30/05/2018,Afternoon,SBY21,Biology,GCE,Biology AS Unit 2 (1hr 30m),,1:30 - 3:00,1hr 30m,,
CEA,31/05/2018,Afternoon,AZ041,Life and Health Sciences,GCE,Life and Health Sciences A2 Unit 4 (1hr 45m) (New),, 1:30 - 3:15,1hr 45m,,
CEA,31/05/2018,Afternoon,AI221,Irish,GCE,Irish A2 2 Section A (40m),, 1:30 - 2:10,40m,,
CEA,31/05/2018,Afternoon,AI222,Irish,GCE,Irish A2 2 Section B & C (2hr 20m) ,,2.25 - 4:45,2hr 20m,,
CEA,31/05/2018,Afternoon,AIR21,Irish,GCE,Irish A2 2 Section A (45m) (New) ,,1:30 - 2:15,45m ,,
CEA,31/05/2018,Afternoon,AIR22,Irish,GCE,Irish A2 2 Section B (2hr) (New) ,,2:30 - 4:30,2hr ,,
CEA,01/06/2018,Afternoon,A2S11,Software Systems Development,GCE,Software Systems Development A2 Unit 1 (2hrs),, 1:30 - 3:30,2hrs,,
CEA,01/06/2018,Afternoon,ADV11,Software Systems Development,GCE,Software Systems Development A2 Unit 1 (2hrs) (New) ,,1:30 - 3:30,2hrs,,
CEA,01/06/2018,Afternoon,SCH32,Chemistry,GCE,Chemistry AS Unit 3 Theory (1hr 15m) ,,1:30 - 2:45,1hr 15m,,
CEA,04/06/2018,Morning,AG211,Geography,GCE,Geography A2 Unit 1 (1hr 30m),,9:15 - 10:45,1hr 30m,,
CEA,04/06/2018,Morning,AGG21,Geography,GCE,Geography A2 Unit 2 (1hr 30m) (New),,9:15 - 10:45,1hr 30m,,
CEA,04/06/2018,Morning,SDT11,Digital Technology,GCE,Digital Technology AS Unit 1 (1hr 30m),,9:15 - 10:45,1hr 30m,,
CEA,04/06/2018,Morning,SFR21,French,GCE,French AS 2 Section A (40m),,9:15 - 9:55,40m,,
CEA,04/06/2018,Morning,SFR22,French,GCE,French AS 2 Section B & C (1hr 20m),,10:10 - 11:30,1hr 20m,,
CEA,05/06/2018,Morning,AD211,History of Art,GCE,History of Art A2 1 (2hrs),,9:15 - 11:15,2hrs,,
CEA,05/06/2018,Morning,AGM21,German,GCE,German A2 2 Section A (45m) (New) ,,9:15 - 10:00,45m,,
CEA,05/06/2018,Morning,AGM22,German,GCE,German A2 2 Section B (2hr) (New) ,,10:15 - 12:15,2hr,,
CEA,05/06/2018,Morning,AHA11,History of Art,GCE,History of Art A2 1 (2hrs) (New) ,,9:15 - 11:15,2hrs ,,
CEA,05/06/2018,Morning,AJ221,German,GCE,German A2 2 Section A (40m),, 9:15 - 9:55,40m,,
CEA,05/06/2018,Morning,AJ222,German,GCE,German A2 2 Section B & C (2hr 20m),,10:10 - 12:30,2hr 20m,,
CEA,05/06/2018,Morning,AR211,Religious Studies,GCE,Religious Studies A2 1 (2hrs),, 9:15 - 11:15,2hrs,,
CEA,05/06/2018,Morning,AR221,Religious Studies,GCE,Religious Studies A2 2 (2hrs),, 9:15 - 11:15,2hrs,,
CEA,05/06/2018,Morning,AR231,Religious Studies,GCE,Religious Studies A2 3 (2hrs),, 9:15 - 11:15,2hrs,,
CEA,05/06/2018,Morning,ARE11,Religious Studies,GCE,Religious Studies A2 1 (2hrs) (New) ,, 9:15 - 11:15,2hrs,,
CEA,05/06/2018,Morning,ARE21,Religious Studies,GCE,Religious Studies A2 2 (2hrs) (New) ,, 9:15 - 11:15,2hrs,,
CEA,05/06/2018,Morning,ARE31,Religious Studies,GCE,Religious Studies A2 3 (2hrs) (New),, 9:15 - 11:15,2hrs,,
CEA,06/06/2018,Morning,AMC41,Mathematics,GCE,Mathematics C4 (1hr 30m),, 9:15 - 10:45,1hr 30m,,
CEA,06/06/2018,Morning,AX221,Moving Image Arts,GCE,Moving Image Arts A2 Unit 2 (2hr 30m),, 9:15 - 10:45,2hr 30m,,
CEA,07/06/2018,Morning,AB211,Biology,GCE,Biology A2 1 (2hrs),, 9:15 - 11:15,2hrs,,
CEA,07/06/2018,Morning,ABY11,Biology,GCE,Biology A2 1 (2hrs 15m) (New),, 9:15 - 11:30,2hrs 15m,,
CEA,08/06/2018,Morning,A2EA1,Environmental Technology,GCE,Environmental Technology A2 Unit 1 (2hrs),, 9:15 - 11:15,2hrs,,
CEA,08/06/2018,Morning,AET11,Environmental Technology,GCE,Environmental Technology A2 Unit 1 (2hrs) (New),, 9:15 - 11:15,2hrs,,
CEA,08/06/2018,Morning,APH21,Physics,GCE,Physics A2 Unit 2 (2hrs) (New),, 9:15 - 11:15,2hrs,,
CEA,08/06/2018,Morning,ATE11,Technology and Design (Systems and Control),GCE,T & D Systems & Control A2 1 (2hrs) (New),, 9:15 - 11:15,2hrs,,
CEA,08/06/2018,Morning,AV211,Technology and Design (Systems and Control),GCE,T & D Systems & Control A2 1 (2hrs),, 9:15 - 11:15,2hrs,,
CEA,08/06/2018,Morning,AY221,Physics,GCE,Physics A2 Unit 2 (1hr 30m),, 9:15 - 11:45,1hr 30m,,
CEA,08/06/2018,Morning,SFR31,French,GCE,French AS Unit 3 (1hr),, 9:15 - 10:15,1hr,,
CEA,04/06/2018,Afternoon,SGP21,Government and Politics,GCE,Government & Politics AS Unit 2 (1hr 45m),, 1:30 - 3:15,1hr 45m,,
CEA,04/06/2018,Afternoon,APH11,Physics,GCE,Physics A2 Unit 1 (2hrs) (New),, 1:30 - 3:30,2hrs,,
CEA,04/06/2018,Afternoon,AY211,Physics,GCE,Physics A2 Unit 1 (1hr 30m),,1:30 - 3:00,1hr 30m,,
CEA,04/06/2018,Afternoon,AC212,Chemistry,GCE,Chemistry A2 Unit 1 (2hrs),,1:30 - 3:30,2hrs,,
CEA,05/06/2018,Afternoon,ACH12,Chemistry,GCE,Chemistry A2 Unit 1 (2hrs) (New) ,,1:30 - 3:30,2hrs ,,
CEA,05/06/2018,Afternoon,AE211,Economics,GCE,Economics A2 1 (2hrs),,1:30 - 3:30,2hrs,,
CEA,05/06/2018,Afternoon,AEC11,Economics,GCE,Economics A2 1 (2hrs) (New),,1:30 - 3:30,2hrs,,
CEA,06/06/2018,Afternoon,AH211,History,GCE,History A2 1 (1hr 15m),, 1:30 - 2:45,1hr 15m,,
CEA,06/06/2018,Afternoon,AHY11,History,GCE,History A2 1 (1hr) (New) ,,1:30 - 2:30,1hr ,,
CEA,06/06/2018,Afternoon,AZ051,Life and Health Sciences,GCE,Life and Health Sciences A2 Unit 5 (1hr 45m) (New),, 1:30 - 3:15,1hr 45m,,
CEA,07/06/2018,Afternoon,A6B11,Applied Business,GCE,Applied Business A2 Unit 7 (1hr 30m),, 1:30 - 3:00,1hr 30m,,
