Exam board,Date,Morning/Afternoon,Code,Course,Qualification,Paper,Notes,Time,Duration,POS,Exam spec
CEA,10/5/2018,Morning,GIR31,Irish,GCSE,Irish 3 Listening (F) (35m),, 9:15 - 9:50,35m,zqtw7ty,zqtw7ty
CEA,10/5/2018,Morning,GIR32,Irish,GCSE,Irish 3 Listening (H) (45m),, 9:15 - 10:00,45m,zqtw7ty,zqtw7ty
CEA,11/5/2018,Morning,GLW31,Learning for Life and Work,GCSE,Learning for Life and Work (1hr 30m),, 9:15 - 10:45,1hr 30m,zq9xdxs,zq9xdxs
CEA,11/5/2018,Morning,GLW41,Learning for Life and Work,GCSE,Learning for Life and Work (1hr 30m),,10:15 - 11:00,1hr 30m,zq9xdxs,zq9xdxs
CEA,11/5/2018,Morning,GLF11,Learning for Life and Work,GCSE,Learning for Life and Work (1hr 30m),,10:30 - 11:30,1hr 30m,zq9xdxs,zq9xdxs
CEA,11/5/2018,Morning,GLW61,Employability,GCSE,Employability (45m),, 9:15 - 10:00,45m,,
CEA,11/5/2018,Morning,GLF31,Employability,GCSE,Employability (1hr) (New),, 9:15 - 10:15,1hr,,
CEA,11/5/2018,Afternoon,GLW51,Personal Development,GCSE,Personal Development (45m),, 1:30 - 2:15,45m,,
CEA,11/5/2018,Afternoon,GLF21,Personal Development,GCSE,Personal Development (1hr) (New),,1:30 - 2:30,1hr,,
CEA,14/5/2018,Morning,GMV11,Motor Vehicle and Road User Studies,GCSE,MV & RUS 1 (F) (1hr 30m),,9:15 - 10:45,1hr 30m,,
CEA,14/5/2018,Morning,GMV12,Motor Vehicle and Road User Studies,GCSE,MV & RUS 1 (H) (2hrs),,9:15 - 11:15,2hrs,,
CEA,14/5/2018,Morning,GIH41,Irish,GCSE,Irish Writing Unit 4 (F) (1hr) (New),,9:15 - 10:15,1hr,zqtw7ty,zqtw7ty
CEA,14/5/2018,Morning,GIH42,Irish,GCSE,Irish Writing Unit 4 (H) (1hr 15m) (New),,9:15 - 10:30,1hr 15m,zqtw7ty,zqtw7ty
CEA,15/5/2018,Morning,GFR31,French,GCSE,French 3 Listening (F) (35m),,9:15 - 9:50,35m,z9dqxnb,
CEA,15/5/2018,Morning,GFR32,French,GCSE,French 3 Listening (H) (45m),,9:15 - 10:00,45m,z9dqxnb,
CEA,16/5/2018,Morning,GJN31,Journalism,GCSE,Journalism Unit 3 (2hrs 15m) (New),,9:15 - 11:30,2hrs 15m,zqyqh39,zwdrw6f
CEA,16/5/2018,Morning,GFC41,French,GCSE,French Writing (F) (1hr) (New),,9:15 - 10:15,1hr,z9dqxnb,
CEA,16/5/2018,Morning,GFC42,French,GCSE,French Writing (H) (1hr 15m) (New),,9:15 - 10:30,1hr 15m,z9dqxnb,
CEA,17/5/2018,Morning,GSD21,DAS: Chemistry,GCSE,DAS: Chemistry Unit 1 (F) (1hr),, 9:15 - 10:15,1hr,zrkw2hv,
CEA,17/5/2018,Morning,GDW21,DAS: Chemistry,GCSE,DAS: Chemistry Unit 1 (F) (1hr) (New),,9:15 - 10:15,1hr,zrkw2hv,
CEA,17/5/2018,Morning,GSD22,DAS: Chemistry,GCSE,DAS: Chemistry Unit 1 (H) (1hr),, 9:15 - 10:15,1hr,zrkw2hv,
CEA,17/5/2018,Morning,GDW22,DAS: Chemistry,GCSE,DAS: Chemistry Unit 1 (H) (1hr) (New),,9:15 - 10:15,1hr,zrkw2hv,
CEA,17/5/2018,Morning,GSS21,SAS: Chemistry,GCSE,SAS: Chemistry Unit 2 (F) (1hr),, 9:15 - 10:15,1hr,zs6hvcw,
CEA,17/5/2018,Morning,GSS22,SAS: Chemistry,GCSE,SAS: Chemistry Unit 2 (H) (1hr 15m),, 9:15 - 10:30,1hr 15m,zs6hvcw,
CEA,18/5/2018,Morning,GET11,English Literature,GCSE,English Literature Unit 1 (F) (1hr) ,, 9:15 - 10:15,1hr ,zckw2hv,
CEA,18/5/2018,Morning,GET12,English Literature,GCSE,English Literature Unit 1 (H) (1hr),, 9:15 - 10:15,1hr,zckw2hv,z8c7sg8
CEA,18/5/2018,Morning,GEL11,English Literature,GCSE,English Literature Unit 1 (1hr 45m) (New),,9:15 - 11:00,1hr 45m,zckw2hv,z8c7sg8
CEA,18/5/2018,Morning,GFR41,French,GCSE,French 4 Reading (F) (40m),,9:15 - 9:55,40m,z9dqxnb,
CEA,18/5/2018,Morning,GFC31,French,GCSE,French Reading Unit 3 (F) (50m) (New),,9:15 - 10:05,50m,z9dqxnb,
CEA,18/5/2018,Morning,GFR42,French,GCSE,French 4 Reading (H) (50m),,9:15 - 10:05,50m,z9dqxnb,
CEA,18/5/2018,Morning,GFC32,French,GCSE,French Reading Unit 3 (H) (1hr) (New),,9:15 - 10:15,1hr,z9dqxnb,
CEA,14/5/2018,Afternoon,GRS11,Religious Studies,GCSE,Religious Studies 1 (1hr 30m),,1:30 - 3:00,1hr 30m,zb48q6f,
CEA,14/5/2018,Afternoon,GRE11,Religious Studies,GCSE,Religious Studies 1 (1hr 30m) (New),,1:30 - 3:00,1hr 30m,zb48q6f,
CEA,14/5/2018,Afternoon,GRS21,Religious Studies,GCSE,Religious Studies 2 (Opt A) (1hr 30m),,1:30 - 3:00,1hr 30m,zb48q6f,
CEA,14/5/2018,Afternoon,GRE21,Religious Studies,GCSE,Religious Studies 2 (Opt A) (1hr 30m) (New),,1:30 - 3:00,1hr 30m,zb48q6f,
CEA,14/5/2018,Afternoon,GRS22,Religious Studies,GCSE,Religious Studies 2 (Opt B) (1hr 30m),,1:30 - 3:00,1hr 30m,zb48q6f,
CEA,14/5/2018,Afternoon,GRE22,Religious Studies,GCSE,Religious Studies 2 (Opt B) (1hr 30m) (New),,1:30 - 3:00,1hr 30m,zb48q6f,
CEA,15/5/2018,Afternoon,GSD11,DAS: Biology,GCSE,DAS: Biology Unit 1 (F) (1hr),,1:30 - 2:30,1hr,zrkw2hv,
CEA,15/5/2018,Afternoon,GDW11,DAS: Biology,GCSE,DAS: Biology Unit 1 (F) (1hr) (New),,1:30 - 2:30,1hr,zrkw2hv,
CEA,15/5/2018,Afternoon,GSD12,DAS: Biology,GCSE,DAS: Biology Unit 1 (H) (1hr),,1:30 - 2:30,1hr,zrkw2hv,
CEA,15/5/2018,Afternoon,GDW12,DAS: Biology,GCSE,DAS: Biology Unit 1 (H) (1hr) (New),,1:30 - 2:30,1hr,zrkw2hv,
CEA,15/5/2018,Afternoon,GSS11,SAS: Biology,GCSE,SAS: Biology Unit 1 (F) (1hr) ,,1:30 - 2:30,1hr ,z9ddmp3,zyqmv4j
CEA,15/5/2018,Afternoon,GSS12,SAS: Biology,GCSE,SAS: Biology Unit 1 (H) (1hr 15m),,1:30 - 2:45,1hr 15m,z9ddmp3,zyqmv4j
CEA,16/5/2018,Afternoon,GRS31,Religious Studies,GCSE,Religious Studies 3 (1hr 30m),,1:30 - 3:00,1hr 30m,zb48q6f,
CEA,16/5/2018,Afternoon,GRE31,Religious Studies,GCSE,Religious Studies 3 (1hr 30m) (New),,1:30 - 3:00,1hr 30m,zb48q6f,
CEA,16/5/2018,Afternoon,GRS41,Religious Studies,GCSE,Religious Studies 4 (1hr 30m),,1:30 - 3:00,1hr 30m,zb48q6f,
