Exam board,Date,Morning/Afternoon,Code,Course,Qualification,Paper,Notes,Duration,POS,Exam spec
WJEC,5/11/18,AM,3700U20-1,English Language,GCSE,English Language Unit 2 (WALES),,2h,,
EDUQAS,5/11/18,AM,C700U10-1,English Language,GCSE,English Language Component 1 (EDUQAS)*,,1h 45m,,
WJEC,6/11/18,AM,3310U10-1,Mathematics,GCSE,Mathematics – Numeracy Unit 1 Foundation Tier (WALES),,1h 30m,,
WJEC,6/11/18,AM,3310U30-1,Mathematics,GCSE,Mathematics – Numeracy Unit 1 Intermediate Tier (WALES),,1h 45m,,
WJEC,6/11/18,AM,3310U50-1,Mathematics,GCSE,Mathematics – Numeracy Unit 1 Higher Tier (WALES),,1h 45m,,
EDUQAS,6/11/18,AM,C300U10-1,Mathematics,GCSE,Mathematics Component 1 Foundation Tier (EDUQAS)*,,2h 15m,,
EDUQAS,6/11/18,AM,C300UA0-1,Mathematics,GCSE,Mathematics Component 1 Higher Tier (EDUQAS)*,,2h 15m,,
WJEC,7/11/18,AM,3700U30-1,English Language,GCSE,English Language Unit 3 (WALES),,2h,,
EDUQAS,7/11/18,AM,C700U20-1,English Language,GCSE,English Language Component 2 (EDUQAS)*,,2h,,
WJEC,8/11/18,AM,3310U20-1,Mathematics – Numeracy,GCSE,Mathematics – Numeracy Unit 2 Foundation Tier (WALES),,1h 30m,,
WJEC,8/11/18,AM,3310U40-1,Mathematics – Numeracy,GCSE,Mathematics – Numeracy Unit 2 Intermediate Tier (WALES),,1h 45m,,
WJEC,8/11/18,AM,3310U60-1,Mathematics – Numeracy,GCSE,Mathematics – Numeracy Unit 2 Higher Tier (WALES),,1h 45m,,
EDUQAS,8/11/18,AM,C300U20-1,Mathematics,GCSE,Mathematics Component 2 Foundation Tier (EDUQAS)*,,2h 15m,,
EDUQAS,8/11/18,AM,C300UB0-1,Mathematics,GCSE,Mathematics Component 2 Higher Tier (EDUQAS)*,,2h 15m,,
WJEC,9/11/18,AM,3000N20-1,Welsh Language,GCSE,Welsh Language Unit 2 (WALES),,2h,,
WJEC,12/11/18,AM,3300U10-1,Mathematics,GCSE,Mathematics Unit 1 Foundation Tier (WALES),,1h 30m,,
WJEC,12/11/18,AM,3300U30-1,Mathematics,GCSE,Mathematics Unit 1 Intermediate Tier (WALES),,1h 45m,,
WJEC,12/12/19,AM,3300U50-1,Mathematics,GCSE,Mathematics Unit 1 Higher Tier (WALES),,1h 45m,,
WJEC,13/11/18,AM,3000N30-1,Welsh Language,GCSE,Welsh Language Unit 3 (WALES),,2h,,
WJEC,14/11/18,AM,3300U20-1,Mathematics,GCSE,Mathematics Unit 2 Foundation Tier (WALES),,1h 30m,,
WJEC,14/11/18,AM,3300U40-1,Mathematics,GCSE,Mathematics Unit 2 Intermediate Tier (WALES),,1h 45m,,
WJEC,14/11/18,AM,3300U60-1,Mathematics,GCSE,Mathematics Unit 2 Higher Tier (WALES),,1h 45m,,
WJEC,8/1/19,AM,4441/01,Religious Studies,GCSE,Religious Studies (Spec A) Unit 1 ChristianityϮ (LEGACY) RESIT ONLY*,Withdrawn,1h 45m,,
WJEC,8/1/19,PM,4702/01,Applied Business,GCSE,Applied Business Unit 2 (LEGACY) RESIT ONLY*,,1h 15m,,
WJEC,8/1/19,AM,4443/01,Religious Studies,GCSE,Religious Studies (Spec A) Unit 3 Rom. Cath. 1Ϯ (LEGACY) RESIT ONLY* Withdrawn,Withdrawn,1h 45m,,
WJEC,8/1/19,PM,4271/01-06**,History,GCSE,History Unit 1Ϯ,(LEGACY) ) RESIT ONLY*,1h 15m,,
WJEC,8/1/19,PM,4762/01,Leisure & Tourism,GCSE,Leisure & Tourism Unit 2,(LEGACY) RESIT ONLY*,1h 30m,,
WJEC,9/1/19,AM,4161/01,Electronics,GCSE,Electronics Test E1 (on screen),(LEGACY) RESIT ONLY* Withdrawn,1h,,
WJEC,9/1/19,PM,4080/01,Business Studies,GCSE,Business Studies,(LEGACY) RESIT ONLY*,2h,,
WJEC,9/1/19,AM,3720U10-1,English Literature,GCSE,English Literature Unit 1 Foundation TierϮ,(WALES),2h,,
WJEC,9/1/19,PM,4341/01,Computer Science,GCSE,Computer Science Unit 1Ϯ,(LEGACY) RESIT ONLY*,1h 30m,,
WJEC,9/1/19,AM,3720UA0-1,English Literature,GCSE,English Literature Unit 1 Higher TierϮ,(WALES),2h,,
WJEC,9/1/19,PM,4311/01,Home Economics,GCSE,Home Economics Textiles Unit 1,(LEGACY) RESIT ONLY* Withdrawn,1h 30m,,
WJEC,9/1/19,AM,0155/01,Film Studies,GCSE,Film Studies Paper 1,(LEGACY) RESIT ONLY*,1h 30m,,
WJEC,9/1/19,AM,4250/01,Geology,GCSE,Geology,(LEGACY) RESIT ONLY* Withdrawn,1h 30m,,
WJEC,10/1/19,AM,4101/01,Design & Technology,GCSE,Design & Technology Graphics Unit 1,(LEGACY) RESIT ONLY* Withdrawn,2h,,
WJEC,10/1/19,PM,4162/01,Electronics,GCSE,Electronics Test E2 (on screen),(LEGACY) RESIT ONLY* Withdrawn,1h,,
WJEC,10/1/19,AM,4141/01,Design & Technology,GCSE,Design & Technology Product Design Unit 1,(LEGACY) RESIT ONLY*,2h,,
WJEC,10/1/19,PM,0155/02,Film Studies,GCSE,Film Studies Paper 2,(LEGACY) RESIT ONLY*,1h,,
WJEC,10/1/19,AM,4111/01,Design & Technology,GCSE,Design & Technology Resistant Materials Unit 1,(LEGACY) RESIT ONLY*,2h,,
WJEC,10/1/19,PM,4722/01,Health & Social,GCSE,Health & Social Care Unit 2Ϯ,(LEGACY),1h 15m,,
WJEC,10/1/19,AM,4121/01,Design & Technology,GCSE,Design & Technology Systems & Control Unit 1,(LEGACY) RESIT ONLY* Withdrawn,2h,,
WJEC,10/1/19,PM,4451/01,Religious Studies,GCSE,Religious Studies (Spec B) Unit 1 Rel. & Life IssuesϮ,(LEGACY) RESIT ONLY*,,,
WJEC,10/1/19,AM,4131/01,Design & Technology,GCSE,Design & Technology Textiles Unit 1,(LEGACY) RESIT ONLY* Withdrawn,2h,,
WJEC,10/1/19,PM,4446/01,Religious Studies,GCSE,Religious Studies (Spec A) Unit 6 HinduismϮ,(LEGACY) RESIT ONLY*,1h 45m,,
WJEC,10/1/19,AM,4331/01,ICT,GCSE,ICT Unit 1 Ϯ 1h 30m 4447/01 Religious Studies (Spec A) Unit 7 IslamϮ,(LEGACY) RESIT ONLY* Withdrawn,1h 45m,,
WJEC,10/1/19,AM,4431/01,Psychology,GCSE,Psychology Unit 1,(LEGACY) RESIT ONLY*,1h 30m,,
WJEC,10/1/19,AM,4511/01,Sociology,GCSE,Sociology Unit 1,(LEGACY) RESIT ONLY*,1h 30m,,
WJEC,11/01/19,AM,4342/01,Computer Science,GCSE,Computer Science Unit 2Ϯ,(LEGACY) RESIT ONLY*,2h,,
WJEC,11/01/19,PM,4704/01,Applied Business,GCSE,Applied Business Unit 4,(LEGACY) RESIT ONLY* Withdrawn,1h 15m,,
WJEC,11/01/19,AM,4391/01,Media Studies,GCSE,Media Studies Unit 1,(LEGACY) RESIT ONLY* 2h,15m,,
WJEC,11/01/19,PM,"4272/01-05,4282/01-02",History,GCSE,History Unit 2Ϯ ,(LEGACY) RESIT ONLY*Withdrawn,1h 15m,,
WJEC,11/01/19,AM,4551/01,Welsh 2nd Language,GCSE,Welsh 2nd Language Unit 1 Foundation Tier,(LEGACY) RESIT ONLY*,1h,,
WJEC,11/01/19,PM,4764/01,Leisure & Tourism,GCSE,Leisure & Tourism Unit 4,(LEGACY) RESIT ONLY* Withdrawn,1h 30m,,
WJEC,11/01/19,AM,4551/02,Welsh 2nd Language,GCSE,Welsh 2nd Language Unit 1 Higher Tier ,(LEGACY) RESIT ONLY*,1h,,
