Exam board,Date,Morning/Afternoon,Code,Course,Qualification,Paper,Notes,Time,Duration,POS,Exam spec
SQA,30/04/2018,Morning,,Urdu,National 5,Urdu Reading and Writing,,09:00 – 10:30,1hr 30m,,
SQA,30/04/2018,Morning,,Urdu,National 5,Urdu Listening,,10:50 – 11:20* (approx),30m,,
SQA,04/06/2018,Morning,,Gàidhlig,Àrd Ìre Adhartach,Gàidhlig Sgrùdadh,,09:00 – 10:30,,,
SQA,04/06/2018,Morning,,Gàidhlig,Àrd Ìre Adhartach,Gàidhlig Litreachas agus Sgrìobhadh,,10:50 – 12:30,,,
SQA,30/04/2018,Afternoon,,Spanish,National 5,Spanish Reading and Writing,,13:00 – 14:30,1hr 30m,zrtykqt,
SQA,30/04/2018,Afternoon,,Spanish,National 5,Spanish Listening,,14:50 – 15:20* (approx),30m,zrtykqt,
SQA,04/06/2018,Morning,,German,Advanced Higher,German Reading and Translation,,09:00 – 10:30,,,
SQA,04/06/2018,Morning,,German,Advanced Higher,German Listening and Discursive Writing,,10:50 – 12:10*,,,
SQA,30/04/2018,Morning,,Spanish,Higher,Spanish Reading and Directed Writing,,09:00 – 10:40,1hr 40m,zchv87h,
SQA,30/04/2018,Morning,,Spanish,Higher,Spanish Listening and Writing,,11:00 – 12:00*,1hr,zchv87h,
SQA,30/04/2018,Afternoon,,Urdu,Higher,Urdu Reading and Directed Writing,,13:00 – 14:40,1hr 40m,,
SQA,30/04/2018,Afternoon,,Urdu,Higher,Urdu Listening and Writing,,15:00 – 16:00*,1hr,,
SQA,01/05/2018,Afternoon,,Geography,National 5,Geography ,,13:00 – 15:20,2hr 20m,znbw2hv,
SQA,01/05/2018,Afternoon,,Cruinn-eòlas,Nàiseanta 5,Cruinn-eòlas ,,13:00 – 15:20,2hr 20m,zcxxsbk,
SQA,01/05/2018,Morning,,Geography,Higher,Geography ,,09:00 – 11:15,2hr 15m,zmhs34j,
SQA,01/05/2018,Morning,,Cruinn-eòlas,An Àrd Ìre,Cruinn-eòlas ,,09:00 – 11:15,2hr 15m,,
SQA,02/05/2018,Morning,,Music,National 5,Music ,,09:00 – 09:45*,45m,zkty4wx,
SQA,02/05/2018,Afternoon,,Administration and IT ,National 5,Administration and IT  ,,13:00 – 15:00,2hr,,
SQA,02/05/2018,Afternoon,,Music,Higher,Music ,,13:00 – 14:00*,1hr,z8hv9j6,
SQA,03/05/2018,Morning,,Applications of Mathematics,National 5,Applications of Mathematics 1 Non–calculator,,09:00 – 10:05,1hr 5m,zb27hyc,
SQA,03/05/2018,Morning,,Applications of Mathematics,National 5,Applications of Mathematics 2,,10:25 – 12:25,2hr,zb27hyc,
SQA,03/05/2018,Morning,,Gnìomhachas Matamataigs,Nàiseanta 5,Gnìomhachas Matamataigs 1 Gun àireamhair,,09:00 – 10:05,1hr 5m,zshd3k7,
SQA,31/05/2018,Morning,,Cantonese,Advanced Higher,Cantonese Reading and Translation,,09:00 – 10:30,,,
SQA,03/05/2018,Morning,,Gnìomhachas Matamataigs,Nàiseanta 5,Gnìomhachas Matamataigs 2,,10:25 – 12:25,2hr,zshd3k7,
SQA,03/05/2018,Morning,,Mathematics,Higher,Mathematics 1 Non–calculator,,09:00 – 10:10,1hr 10m,z6nygk7,
SQA,03/05/2018,Morning,,Mathematics,Higher,Mathematics 2,,10:30 – 12:00,1hr 30m,z6nygk7,
SQA,31/05/2018,Morning,,Mandarin Simplified,Advanced Higher,Mandarin Simplified Reading and Translation,,09:00 – 10:30,,,
SQA,03/05/2018,Morning,,Matamataig,An Àrd Ìre,Matamataig 1 Gun àireamhair,,09:00 – 10:10,1hr 10m,zgxf4qt,
SQA,03/05/2018,Morning,,Matamataig,An Àrd Ìre,Matamataig 2,,10:30 – 12:00,1hr 30m,zgxf4qt,
SQA,04/05/2018,Morning,,Mathematics,National 5,Mathematics 1 Non–calculator,,09:00 – 10:15,1hr 15m,ztrjmp3,
SQA,31/05/2018,Morning,,Mandarin Traditional,Advanced Higher,Mandarin Traditional Reading and Translation,,09:00 – 10:30,,,
SQA,04/05/2018,Morning,,Mathematics,National 5,Mathematics 2,,10:35 – 12:25,1hr 50m,ztrjmp3,
SQA,04/05/2018,Morning,,Matamataig,Nàiseanta 5,Matamataig 1 Gun àireamhair,,09:00 – 10:15,1hr 15m,z8tvk2p,
SQA,04/05/2018,Morning,,Matamataig,Nàiseanta 5,Matamataig 2,,10:35 – 12:25,1hr 50m,z8tvk2p,
SQA,08/05/2018,Afternoon,,Physics,National 5,Physics ,,13:00 – 15:30,2hr 30m,z6fsgk7,
SQA,31/05/2018,Afternoon,,Cantonese,Advanced Higher,Cantonese Listening and Discursive Writing,,13:00 – 14:45*,,,
